full_text,tokens,processed_text
demi obe kampus kami sampai ngabisin dana buat konsultan padahal yang dibutuhin hanya perbaikan fasilitas,"['obe', 'kampus', 'ngabisin', 'dana', 'konsultan', 'dibutuhin', 'baik', 'fasilitas']",obe kampus ngabisin dana konsultan dibutuhin baik fasilitas
obe ini hanya jargon kosong di lapangan implementasinya amburadul karena tidak ada panduan yang jelas,"['obe', 'jargon', 'kosong', 'lapang', 'implementasi', 'amburadul', 'pandu']",obe jargon kosong lapang implementasi amburadul pandu
garagara obe waktu buat penelitian jadi berkurang karena dosen sibuk bikin dokumen assessment,"['garagara', 'obe', 'teliti', 'kurang', 'dosen', 'sibuk', 'bikin', 'dokumen', 'assessment']",garagara obe teliti kurang dosen sibuk bikin dokumen assessment
obe malah bikin mahasiswa jadi kurang kritis mereka hanya fokus ke standar minimum yang harus dicapai,"['obe', 'bikin', 'mahasiswa', 'kritis', 'fokus', 'standar', 'minimum', 'capai']",obe bikin mahasiswa kritis fokus standar minimum capai
sebagai guru saya ngerasa obe ini hanya nambah beban administratif tanpa manfaat yang jelas buat siswa,"['guru', 'ngerasa', 'obe', 'nambah', 'beban', 'administratif', 'manfaat', 'siswa']",guru ngerasa obe nambah beban administratif manfaat siswa
obe ini hanya alat pemerintah buat standarisasi pendidikan padahal setiap daerah punya keunikan dan kebutuhan berbeda,"['obe', 'alat', 'perintah', 'standar', 'didik', 'daerah', 'uni', 'butuh', 'beda']",obe alat perintah standar didik daerah uni butuh beda
implementasi obe di kampus kami hanya setengahsetengah jadinya malah bikin bingung semua pihak,"['implementasi', 'obe', 'kampus', 'setengahsetengah', 'bikin', 'bingung']",implementasi obe kampus setengahsetengah bikin bingung
obe malah bikin pendidikan jadi industri yang hanya fokus ke output bukan ke perkembangan manusianya,"['obe', 'bikin', 'didik', 'industri', 'fokus', 'output', 'kembang', 'manusia']",obe bikin didik industri fokus output kembang manusia
kalau obe ingin sukses di indonesia tidak cukup hanya ganti kurikulum mindset dan infrastrukturnya juga harus dibenahi,"['obe', 'sukses', 'indonesia', 'ganti', 'kurikulum', 'mindset', 'infrastruktur', 'benah']",obe sukses indonesia ganti kurikulum mindset infrastruktur benah
tidak ngerti sama kementerian maksa semua kampus terapin obe tapi tidak dikasih dana tambahan,"['ngerti', 'menteri', 'maksa', 'kampus', 'terapin', 'obe', 'kasih', 'dana', 'tambah']",ngerti menteri maksa kampus terapin obe kasih dana tambah
obe bikin pendidikan kehilangan soulnya semuanya jadi terukur dan terstandarisasi secara kaku,"['obe', 'bikin', 'didik', 'hilang', 'soulnya', 'ukur', 'standar', 'kaku']",obe bikin didik hilang soulnya ukur standar kaku
kampus kami sudah terapin obe tapi feedbacknya negatif dari mahasiswa katanya tugas jadi lebih banyak tapi tidak relevan,"['kampus', 'terapin', 'obe', 'feedbacknya', 'negatif', 'mahasiswa', 'tugas', 'relevan']",kampus terapin obe feedbacknya negatif mahasiswa tugas relevan
terlalu banyak administrasi di obe kapan ngajarnya kalau waktu habis buat ngurusin dokumen,"['administrasi', 'obe', 'ngajarnya', 'habis', 'ngurusin', 'dokumen']",administrasi obe ngajarnya habis ngurusin dokumen
obe ini bagus di negara yang sistem pendidikannya sudah mapan kalau di indonesia malah jadi beban tambahan,"['obe', 'bagus', 'negara', 'sistem', 'didik', 'mapan', 'indonesia', 'beban', 'tambah']",obe bagus negara sistem didik mapan indonesia beban tambah
menurut survei internal 70 dosen kami tidak setuju sama implementasi obe karena terlalu birokratis,"['survei', 'internal', '70', 'dosen', 'tuju', 'implementasi', 'obe', 'birokratis']",survei internal 70 dosen tuju implementasi obe birokratis
obe malah bikin mahasiswa jadi stres mereka hanya fokus ke nilai bukan ke pemahaman materi,"['obe', 'bikin', 'mahasiswa', 'stres', 'fokus', 'nilai', 'paham', 'materi']",obe bikin mahasiswa stres fokus nilai paham materi
kampus2 pada ramerame terapin obe padahal tidak paham esensinya yang penting bisa ditulis di borang akreditasi,"['kampus2', 'ramerame', 'terapin', 'obe', 'paham', 'esensi', 'tulis', 'borang', 'akreditasi']",kampus2 ramerame terapin obe paham esensi tulis borang akreditasi
obe ini konsepnya sudah ketinggalan jaman negara yang menciptakannya saja sudah mulai beralih ke model yang lebih fleksibel,"['obe', 'konsep', 'tinggal', 'jaman', 'negara', 'cipta', 'alih', 'model', 'fleksibel']",obe konsep tinggal jaman negara cipta alih model fleksibel
garagara fokus ke obe kampus kami malah ngelupain masalah fundamental seperti fasilitas yang masih kurang,"['garagara', 'fokus', 'obe', 'kampus', 'ngelupain', 'fundamental', 'fasilitas']",garagara fokus obe kampus ngelupain fundamental fasilitas
obe yang hanya ganti format silabus tanpa ubah metode pengajaran itu hanya buangbuang waktu dan energi,"['obe', 'ganti', 'format', 'silabus', 'ubah', 'metode', 'ajar', 'buangbuang', 'energi']",obe ganti format silabus ubah metode ajar buangbuang energi
tidak ngerti lagi sama pemerintah kurikulum ganti terus kasihan guruguru yang selalu jadi korban,"['ngerti', 'perintah', 'kurikulum', 'ganti', 'kasihan', 'guruguru', 'korban']",ngerti perintah kurikulum ganti kasihan guruguru korban
obe ternyata bikin gap antara teori dan praktek makin lebar mahasiswa jadi robot yang hanya fokus ke nilai,"['obe', 'bikin', 'gap', 'teori', 'praktek', 'lebar', 'mahasiswa', 'robot', 'fokus', 'nilai']",obe bikin gap teori praktek lebar mahasiswa robot fokus nilai
sudah 2 tahun kampus kami terapin obe tapi kualitas lulusan tetep saja sama tidak ada peningkatan signifikan,"['2', 'kampus', 'terapin', 'obe', 'kualitas', 'lulus', 'tetep', 'tingkat', 'signifikan']",2 kampus terapin obe kualitas lulus tetep tingkat signifikan
sebagai dosen saya merasa obe ini hanya bikin ribet saja banyak form yang harus diisi tapi esensinya hilang,"['dosen', 'obe', 'bikin', 'ribet', 'form', 'isi', 'esensi', 'hilang']",dosen obe bikin ribet form isi esensi hilang
obe malah bikin pendidikan jadi kehilangan dimensi humanisnya semua diukur pakai angka saja,"['obe', 'bikin', 'didik', 'hilang', 'dimensi', 'humanis', 'ukur', 'pakai', 'angka']",obe bikin didik hilang dimensi humanis ukur pakai angka
kecewa sekali sama implementasi obe di kampus kami hanya jadi proyek dandandandan dokumen buat akreditasi,"['kecewa', 'implementasi', 'obe', 'kampus', 'proyek', 'dandandandan', 'dokumen', 'akreditasi']",kecewa implementasi obe kampus proyek dandandandan dokumen akreditasi
tidak semua ilmu bisa diukur pakai obe misalnya filsafat atau seni masa harus disimplifikasi jadi outcomes yang kaku,"['ilmu', 'ukur', 'pakai', 'obe', 'filsafat', 'seni', 'simplifikasi', 'outcomes', 'kaku']",ilmu ukur pakai obe filsafat seni simplifikasi outcomes kaku
obe ini konsepnya seperti industrialisasi pendidikan mahasiswa diproduksi sesuai permintaan pasar,"['obe', 'konsep', 'industrialisasi', 'didik', 'mahasiswa', 'produksi', 'sesuai', 'minta', 'pasar']",obe konsep industrialisasi didik mahasiswa produksi sesuai minta pasar
saya sudah 20 tahun jadi dosen dan obe ini hanya daur ulang dari konsep yang sudah pernah gagal sebelumnya,"['20', 'dosen', 'obe', 'daur', 'ulang', 'konsep', 'gagal']",20 dosen obe daur ulang konsep gagal
garagara obe dosen jadi fokus ke administratif bukan ke peningkatan kualitas pengajaran,"['garagara', 'obe', 'dosen', 'fokus', 'administratif', 'tingkat', 'kualitas', 'ajar']",garagara obe dosen fokus administratif tingkat kualitas ajar
obe malah bikin pendidikan kehilangan unsur kemanusiaannya semua distandarisasi seperti pabrik,"['obe', 'bikin', 'didik', 'hilang', 'unsur', 'manusia', 'standar', 'pabrik']",obe bikin didik hilang unsur manusia standar pabrik
sudah capek dengerin jargon obe toh pada akhirnya yang diukur hanya nilai ujian saja,"['capek', 'dengerin', 'jargon', 'obe', 'ukur', 'nilai', 'uji']",capek dengerin jargon obe ukur nilai uji
konsep obe bagus tapi implementasinya berantakan jadinya malah bikin tambah kacau sistem pendidikan,"['konsep', 'obe', 'bagus', 'implementasi', 'beranta', 'bikin', 'kacau', 'sistem', 'didik']",konsep obe bagus implementasi beranta bikin kacau sistem didik
obe ini hanya buat yang punya resource banyak kampus kecil seperti kami malah kesusahan implementasinya,"['obe', 'resource', 'kampus', 'susah', 'implementasi']",obe resource kampus susah implementasi
tidak adil sekali maksa semua kampus terapin obe tanpa pertimbangkan kondisi dan kemampuan masingmasing,"['adil', 'maksa', 'kampus', 'terapin', 'obe', 'timbang', 'kondisi', 'mampu', 'masingmasing']",adil maksa kampus terapin obe timbang kondisi mampu masingmasing
obe bikin mata kuliah yang sifatnya eksplorasi jadi kaku semuanya dipaksa punya outcome yang terukur,"['obe', 'bikin', 'mata', 'kuliah', 'sifat', 'eksplorasi', 'kaku', 'paksa', 'outcome', 'ukur']",obe bikin mata kuliah sifat eksplorasi kaku paksa outcome ukur
implementasi obe di kampus kami hanya untuk pencitraan dalamnya masih sama saja seperti dulu,"['implementasi', 'obe', 'kampus', 'citra', 'dalam']",implementasi obe kampus citra dalam
sebagai mahasiswa saya ngerasa jadi kelinci percobaan garagara obe dosennya saja masih bingung gimana nerapinnya,"['mahasiswa', 'ngerasa', 'kelinci', 'coba', 'garagara', 'obe', 'dosen', 'bingung', 'gimana', 'nerapinnya']",mahasiswa ngerasa kelinci coba garagara obe dosen bingung gimana nerapinnya
obe ini konsepnya bagus tapi prakteknya amburadul malah bikin sistem pendidikan tambah berantakan,"['obe', 'konsep', 'bagus', 'praktek', 'amburadul', 'bikin', 'sistem', 'didik', 'beranta']",obe konsep bagus praktek amburadul bikin sistem didik beranta
tidak habis pikir sama kemdikbud bukannya benerin masalah fundamental malah sibuk gantiganti kurikulum,"['habis', 'pikir', 'kemdikbud', 'benerin', 'fundamental', 'sibuk', 'gantiganti', 'kurikulum']",habis pikir kemdikbud benerin fundamental sibuk gantiganti kurikulum
obe ternyata malah membebani mahasiswa dengan tugas yang banyak tapi tidak substantif,"['obe', 'beban', 'mahasiswa', 'tugas', 'substantif']",obe beban mahasiswa tugas substantif
sudah 6 bulan kami pakai obe feedbacknya negatif dari siswa dan guru pada bingung semua,"['6', 'pakai', 'obe', 'feedbacknya', 'negatif', 'siswa', 'guru', 'bingung']",6 pakai obe feedbacknya negatif siswa guru bingung
obe ini ibaratnya ganti bungkus tapi isinya sama hanya biar keliatan kekinian saja,"['obe', 'ganti', 'bungkus', 'isi', 'biar', 'liat', 'kini']",obe ganti bungkus isi biar liat kini
kampus kami terpaksa terapin obe garagara takut akreditasinya turun padahal sebenernya belum siap,"['kampus', 'paksa', 'terapin', 'obe', 'garagara', 'takut', 'akreditasi', 'turun', 'sebenernya']",kampus paksa terapin obe garagara takut akreditasi turun sebenernya
lelah sekali tiap tahun ada sistem baru dulu k13 sekarang obe capek ngikutinnya,"['lelah', 'sistem', 'k13', 'obe', 'capek', 'ngikutinnya']",lelah sistem k13 obe capek ngikutinnya
obe bikin pendidikan jadi mechanical hilang sentuhan personal antara guru dan murid,"['obe', 'bikin', 'didik', 'mechanical', 'hilang', 'sentuh', 'personal', 'guru', 'murid']",obe bikin didik mechanical hilang sentuh personal guru murid
saya tidak yakin obe bisa sukses di indonesia soalnya mindset pendidikan kita masih fokus ke hafalan bukan pemahaman,"['obe', 'sukses', 'indonesia', 'mindset', 'didik', 'fokus', 'hafal', 'paham']",obe sukses indonesia mindset didik fokus hafal paham
setelah nerapin obe malah bikin dosen jadi admin daripada pendidik waktunya habis buat urus dokumen,"['nerapin', 'obe', 'bikin', 'dosen', 'admin', 'didik', 'habis', 'urus', 'dokumen']",nerapin obe bikin dosen admin didik habis urus dokumen
tidak ngerti kenapa kampus kami ngotot implementasi obe padahal jelasjelas belum siap dari segi sdm dan infrastruktur,"['ngerti', 'kampus', 'ngotot', 'implementasi', 'obe', 'jelasjelas', 'segi', 'sdm', 'infrastruktur']",ngerti kampus ngotot implementasi obe jelasjelas segi sdm infrastruktur
obe ini ibaratnya beli baju mahal tapi tidak cocok di badan dipaksapaksain malah jadi aneh,"['obe', 'beli', 'baju', 'mahal', 'cocok', 'badan', 'dipaksapaksain', 'aneh']",obe beli baju mahal cocok badan dipaksapaksain aneh
sejak kampus kami pakai obe dosendosen pada stress karena workload nambah tapi kompensasi tetep sama,"['kampus', 'pakai', 'obe', 'dosendosen', 'stress', 'workload', 'nambah', 'kompensasi', 'tetep']",kampus pakai obe dosendosen stress workload nambah kompensasi tetep
obe malah bikin mahasiswa jadi kurang eksploratif mereka hanya belajar yang ada di rubrik penilaian saja,"['obe', 'bikin', 'mahasiswa', 'eksploratif', 'ajar', 'rubrik', 'nilai']",obe bikin mahasiswa eksploratif ajar rubrik nilai
kampus kami asal comot obe tanpa adaptasi ke konteks lokal jadinya ya tidak nyambung sama kebutuhan riil,"['kampus', 'comot', 'obe', 'adaptasi', 'konteks', 'lokal', 'ya', 'nyambung', 'butuh', 'riil']",kampus comot obe adaptasi konteks lokal ya nyambung butuh riil
capek dengerin obe terus ujungujungnya yang dipentingin tetep nilai bukan pemahaman,"['capek', 'dengerin', 'obe', 'ujungujungnya', 'dipentingin', 'tetep', 'nilai', 'paham']",capek dengerin obe ujungujungnya dipentingin tetep nilai paham
garagara obe kreativitas mahasiswa malah terbunuh karena semuanya harus sesuai standar yang kaku,"['garagara', 'obe', 'kreativitas', 'mahasiswa', 'bunuh', 'sesuai', 'standar', 'kaku']",garagara obe kreativitas mahasiswa bunuh sesuai standar kaku
obe ini bikin sistem pendidikan jadi tidak manusiawi semua diukur pakai angka saja tanpa lihat prosesnya,"['obe', 'bikin', 'sistem', 'didik', 'manusiawi', 'ukur', 'pakai', 'angka', 'lihat', 'proses']",obe bikin sistem didik manusiawi ukur pakai angka lihat proses
kampus hanya ngejar akreditasi makanya terapin obe tapi implementasinya hanya di permukaan saja,"['kampus', 'ngejar', 'akreditasi', 'terapin', 'obe', 'implementasi', 'muka']",kampus ngejar akreditasi terapin obe implementasi muka
tidak ngerti lagi sama kebijakan pendidikan yang gontaganti tahun ini obe besok apalagi,"['ngerti', 'bijak', 'didik', 'gontaganti', 'obe', 'besok']",ngerti bijak didik gontaganti obe besok
obe malah bikin gap antara kampus besar dan kecil makin lebar karena butuh resource banyak buat implementasinya,"['obe', 'bikin', 'gap', 'kampus', 'lebar', 'butuh', 'resource', 'implementasi']",obe bikin gap kampus lebar butuh resource implementasi
sejak pakai kurikulum obe guruguru jadi kebanyakan ngurus administratif daripada fokus ngajar,"['pakai', 'kurikulum', 'obe', 'guruguru', 'banyak', 'ngurus', 'administratif', 'fokus', 'ngajar']",pakai kurikulum obe guruguru banyak ngurus administratif fokus ngajar
tidak semua bidang ilmu cocok diterapin obe misalnya humaniora yang lebih ke proses berpikir daripada hasil konkret,"['bidang', 'ilmu', 'cocok', 'diterapin', 'obe', 'humaniora', 'proses', 'pikir', 'hasil', 'konkret']",bidang ilmu cocok diterapin obe humaniora proses pikir hasil konkret
obe ini hanya bikin pendidikan jadi mekanistis hilang unsur seni dan kreativitasnya,"['obe', 'bikin', 'didik', 'mekanistis', 'hilang', 'unsur', 'seni', 'kreativitas']",obe bikin didik mekanistis hilang unsur seni kreativitas
kampus kami terpaksa terapin obe padahal sebenernya tidak siap jadinya implementasinya kacau balau,"['kampus', 'paksa', 'terapin', 'obe', 'sebenernya', 'implementasi', 'kacau', 'balau']",kampus paksa terapin obe sebenernya implementasi kacau balau
lebih baik perbaiki kualitas guru daripada gontaganti kurikulum terus seperti obe begini,"['baik', 'kualitas', 'guru', 'gontaganti', 'kurikulum', 'obe']",baik kualitas guru gontaganti kurikulum obe
obe ternyata hanya rebranding dari kurikulum lama substansinya tetep sama hanya beda istilah saja,"['obe', 'rebranding', 'kurikulum', 'substansi', 'tetep', 'beda', 'istilah']",obe rebranding kurikulum substansi tetep beda istilah
sudah setahun pakai obe tapi malah bikin mahasiswa jadi bingung karena setiap dosen nerapinnya bedabeda,"['tahun', 'pakai', 'obe', 'bikin', 'mahasiswa', 'bingung', 'dosen', 'nerapinnya', 'bedabeda']",tahun pakai obe bikin mahasiswa bingung dosen nerapinnya bedabeda
