full_text,tokens,processed_text
obe membantu siswa memahami relevansi pelajaran dengan kehidupan nyata,"['obe', 'bantu', 'siswa', 'paham', 'relevansi', 'ajar', 'hidup', 'nyata']",obe bantu siswa paham relevansi ajar hidup nyata
terlalu banyak istilah asing di obe bikin guruguru pusing,"['istilah', 'asing', 'obe', 'bikin', 'guruguru', 'pusing']",istilah asing obe bikin guruguru pusing
obe butuh internet yang bagus di desa mana ada,"['obe', 'butuh', 'internet', 'bagus', 'desa']",obe butuh internet bagus desa
perubahan ke obe lumayan lancar di sekolah kami,"['ubah', 'obe', 'lumayan', 'lancar', 'sekolah']",ubah obe lumayan lancar sekolah
guruguru senior kesulitan adaptasi sama obe,"['guruguru', 'senior', 'sulit', 'adaptasi', 'obe']",guruguru senior sulit adaptasi obe
kemampuan public speaking anakanak meningkat dengan obe,"['mampu', 'public', 'speaking', 'anakanak', 'tingkat', 'obe']",mampu public speaking anakanak tingkat obe
terlalu banyak penilaian di obe bikin guru kewalahan,"['nilai', 'obe', 'bikin', 'guru', 'kewalahan']",nilai obe bikin guru kewalahan
anakanak jadi bisa belajar sesuai minat mereka dengan obe,"['anakanak', 'ajar', 'sesuai', 'minat', 'obe']",anakanak ajar sesuai minat obe
obe malah bikin guru fokus ke administrasi daripada ngajar,"['obe', 'bikin', 'guru', 'fokus', 'administrasi', 'ngajar']",obe bikin guru fokus administrasi ngajar
tidak semua siswa cocok dengan metode pembelajaran obe,"['siswa', 'cocok', 'metode', 'ajar', 'obe']",siswa cocok metode ajar obe
keren obe ini anakanak jadi lebih kreatif dan inovatif,"['keren', 'obe', 'anakanak', 'kreatif', 'inovatif']",keren obe anakanak kreatif inovatif
obe tidak realistis diterapkan di sekolah dengan dana terbatas,"['obe', 'realistis', 'terap', 'sekolah', 'dana', 'batas']",obe realistis terap sekolah dana batas
ujungnya nilai anak tetep dilihat dari un jadi obe percuma,"['ujung', 'nilai', 'anak', 'tetep', 'un', 'obe']",ujung nilai anak tetep un obe
obe bikin pembelajaran lebih terintegrasi dengan teknologi,"['obe', 'bikin', 'ajar', 'integrasi', 'teknologi']",obe bikin ajar integrasi teknologi
guru jadi kebingungan cara ngasih nilai di kurikulum obe,"['guru', 'bingung', 'ngasih', 'nilai', 'kurikulum', 'obe']",guru bingung ngasih nilai kurikulum obe
banyak orangtua yang tidak suka sama obe karena beda sama jaman mereka dulu,"['orangtua', 'suka', 'obe', 'beda', 'jaman']",orangtua suka obe beda jaman
obe bagus untuk keterampilan abad 21 yang dibutuhkan anakanak,"['obe', 'bagus', 'terampil', 'abad', '21', 'butuh', 'anakanak']",obe bagus terampil abad 21 butuh anakanak
tidak ada bedanya obe sama kurikulum sebelumnya hanya ganti nama,"['beda', 'obe', 'kurikulum', 'ganti', 'nama']",beda obe kurikulum ganti nama
guruguru jadi tambah stress garagara obe,"['guruguru', 'stress', 'garagara', 'obe']",guruguru stress garagara obe
obe membuat siswa lebih siap menghadapi tantangan masa depan,"['obe', 'siswa', 'hadap', 'tantang']",obe siswa hadap tantang
pelatihan obe tidak jelas guruguru masih bingung,"['latih', 'obe', 'guruguru', 'bingung']",latih obe guruguru bingung
anakanak lebih punya inisiatif belajar dengan sistem obe,"['anakanak', 'inisiatif', 'ajar', 'sistem', 'obe']",anakanak inisiatif ajar sistem obe
kepala sekolah saja tidak ngerti obe gimana ingin nerapin,"['kepala', 'sekolah', 'ngerti', 'obe', 'gimana', 'nerapin']",kepala sekolah ngerti obe gimana nerapin
obe hanya cocok buat sekolah elite di kota besar,"['obe', 'cocok', 'sekolah', 'elite', 'kota']",obe cocok sekolah elite kota
mending fokus benerin gaji guru daripada gantiganti kurikulum terus,"['mending', 'fokus', 'benerin', 'gaji', 'guru', 'gantiganti', 'kurikulum']",mending fokus benerin gaji guru gantiganti kurikulum
obe mendukung pengembangan karakter siswa dengan lebih baik,"['obe', 'dukung', 'kembang', 'karakter', 'siswa']",obe dukung kembang karakter siswa
materi obe terlalu banyak waktu ngajarnya kurang,"['materi', 'obe', 'ngajarnya']",materi obe ngajarnya
sistem obe bikin anakanak lebih siap masuk dunia kerja,"['sistem', 'obe', 'bikin', 'anakanak', 'masuk', 'dunia', 'kerja']",sistem obe bikin anakanak masuk dunia kerja
terlalu banyak rubrik penilaian di obe bikin guru mumet,"['rubrik', 'nilai', 'obe', 'bikin', 'guru', 'mumet']",rubrik nilai obe bikin guru mumet
obe mah hanya program pencitraan saja,"['obe', 'mah', 'program', 'citra']",obe mah program citra
tidak semua mata pelajaran cocok diajarkan pakai metode obe,"['mata', 'ajar', 'cocok', 'ajar', 'pakai', 'metode', 'obe']",mata ajar cocok ajar pakai metode obe
anakanak jadi lebih bisa berfikir kritis dengan obe,"['anakanak', 'berfikir', 'kritis', 'obe']",anakanak berfikir kritis obe
kurikulum obe lebih membebani siswa dengan tugas yang banyak,"['kurikulum', 'obe', 'beban', 'siswa', 'tugas']",kurikulum obe beban siswa tugas
jujur saja belum liat beda signifikan antara obe sama kurikulum lama,"['jujur', 'liat', 'beda', 'signifikan', 'obe', 'kurikulum']",jujur liat beda signifikan obe kurikulum
metode obe membantu siswa mengembangkan kemampuan problem solving,"['metode', 'obe', 'bantu', 'siswa', 'kembang', 'mampu', 'problem', 'solving']",metode obe bantu siswa kembang mampu problem solving
terlalu teoritis obe ini prakteknya susah,"['teoritis', 'obe', 'praktek', 'susah']",teoritis obe praktek susah
obe bikin guru harus kerja lembur tanpa bayaran tambahan,"['obe', 'bikin', 'guru', 'kerja', 'lembur', 'bayar', 'tambah']",obe bikin guru kerja lembur bayar tambah
tidak semua siswa bisa adaptasi sama model pembelajaran obe,"['siswa', 'adaptasi', 'model', 'ajar', 'obe']",siswa adaptasi model ajar obe
obe memberikan pengalaman belajar yang lebih bermakna,"['obe', 'alam', 'ajar', 'makna']",obe alam ajar makna
ribet sekali bikin rpp buat kurikulum obe,"['ribet', 'bikin', 'rpp', 'kurikulum', 'obe']",ribet bikin rpp kurikulum obe
obe bagus untuk mengembangkan kreativitas dan inovasi siswa,"['obe', 'bagus', 'kembang', 'kreativitas', 'inovasi', 'siswa']",obe bagus kembang kreativitas inovasi siswa
kurikulum obe bikin orangtua tidak bisa bantu anak belajar di rumah,"['kurikulum', 'obe', 'bikin', 'orangtua', 'bantu', 'anak', 'ajar', 'rumah']",kurikulum obe bikin orangtua bantu anak ajar rumah
sekolah butuh dana lebih besar untuk nerapin obe dengan baik,"['sekolah', 'butuh', 'dana', 'nerapin', 'obe']",sekolah butuh dana nerapin obe
anakanak lebih terampil berkomunikasi sejak belajar pakai obe,"['anakanak', 'terampil', 'komunikasi', 'ajar', 'pakai', 'obe']",anakanak terampil komunikasi ajar pakai obe
kemendikbud tidak siap dengan infrastruktur untuk obe,"['kemendikbud', 'infrastruktur', 'obe']",kemendikbud infrastruktur obe
tidak semua sekolah siap nerapin obe terutama di daerah terpencil,"['sekolah', 'nerapin', 'obe', 'daerah', 'pencil']",sekolah nerapin obe daerah pencil
obe membantu anak memahami dunia nyata lewat projectproject yang dikerjakan,"['obe', 'bantu', 'anak', 'paham', 'dunia', 'nyata', 'projectproject']",obe bantu anak paham dunia nyata projectproject
terlalu banyak istilah teknis di obe yang bikin bingung guru dan orangtua,"['istilah', 'teknis', 'obe', 'bikin', 'bingung', 'guru', 'orangtua']",istilah teknis obe bikin bingung guru orangtua
kemendikbud tidak mikirin beban guru dengan obe,"['kemendikbud', 'mikirin', 'beban', 'guru', 'obe']",kemendikbud mikirin beban guru obe
obe bikin anakanak lebih berani menyampaikan pendapat,"['obe', 'bikin', 'anakanak', 'berani', 'dapat']",obe bikin anakanak berani dapat
yang penting kualitas gurunya bukan nama kurikulumnya,"['kualitas', 'guru', 'nama', 'kurikulum']",kualitas guru nama kurikulum
anakanak lebih semangat presentasi hasil projectnya di obe,"['anakanak', 'semangat', 'presentasi', 'hasil', 'projectnya', 'obe']",anakanak semangat presentasi hasil projectnya obe
banyak guru yang ngajar asalasalan karena bingung sama obe,"['guru', 'ngajar', 'asalasalan', 'bingung', 'obe']",guru ngajar asalasalan bingung obe
obe bikin tugas guru makin numpuk tanpa solusi,"['obe', 'bikin', 'tugas', 'guru', 'numpuk', 'solusi']",obe bikin tugas guru numpuk solusi
beban administrasi obe ngerampok waktu guru untuk kreatif,"['beban', 'administrasi', 'obe', 'ngerampok', 'guru', 'kreatif']",beban administrasi obe ngerampok guru kreatif
obe mendorong pembelajaran yang lebih kolaboratif antar siswa,"['obe', 'dorong', 'ajar', 'kolaboratif', 'siswa']",obe dorong ajar kolaboratif siswa
terlalu cepat ganti kurikulum belum sempat evaluasi yang lama,"['cepat', 'ganti', 'kurikulum', 'evaluasi']",cepat ganti kurikulum evaluasi
penilaian di obe lebih komprehensif dan adil,"['nilai', 'obe', 'komprehensif', 'adil']",nilai obe komprehensif adil
obe nyusahin guru honorer yang gajinya kecil tapi kerjaan dobel,"['obe', 'nyusahin', 'guru', 'honorer', 'gaji', 'kerja', 'dobel']",obe nyusahin guru honorer gaji kerja dobel
kurikulum obe bikin guru jadi robot administrasi,"['kurikulum', 'obe', 'bikin', 'guru', 'robot', 'administrasi']",kurikulum obe bikin guru robot administrasi
metode obe membantu siswa memahami materi dengan lebih baik,"['metode', 'obe', 'bantu', 'siswa', 'paham', 'materi']",metode obe bantu siswa paham materi
guruguru senior pada ingin pensiun garagara stress dengan obe,"['guruguru', 'senior', 'pensiun', 'garagara', 'stress', 'obe']",guruguru senior pensiun garagara stress obe
obe bikin siswa lebih siap masuk dunia kerja modern,"['obe', 'bikin', 'siswa', 'masuk', 'dunia', 'kerja', 'modern']",obe bikin siswa masuk dunia kerja modern
banyak aturan di obe yang tidak masuk akal buat diterapin,"['atur', 'obe', 'masuk', 'akal', 'diterapin']",atur obe masuk akal diterapin
pemerintah tidak mikirin kesejahteraan guru malah nambahin beban dengan obe,"['perintah', 'mikirin', 'sejahtera', 'guru', 'nambahin', 'beban', 'obe']",perintah mikirin sejahtera guru nambahin beban obe
