full_text,tokens,processed_text
anakanak jadi lebih ikut nimbrung dalam pelajaran pakai obe,"['anakanak', 'nimbrung', 'ajar', 'pakai', 'obe']",anakanak nimbrung ajar pakai obe
sekolah di desa seperti kita mana bisa ngikutin standar obe,"['sekolah', 'desa', 'ngikutin', 'standar', 'obe']",sekolah desa ngikutin standar obe
obe masih cobacoba di indonesia belum sempurna,"['obe', 'cobacoba', 'indonesia', 'sempurna']",obe cobacoba indonesia sempurna
keren anakanak jadi lebih jago mecahin masalah pakai obe,"['keren', 'anakanak', 'jago', 'mecahin', 'pakai', 'obe']",keren anakanak jago mecahin pakai obe
mahal sekali implementasi obe sekolah kami kagak mampu,"['mahal', 'implementasi', 'obe', 'sekolah', 'kagak']",mahal implementasi obe sekolah kagak
enak pakai obe anakanak jadi tau ingin belajar apa dan kenapa,"['enak', 'pakai', 'obe', 'anakanak', 'tau', 'ajar']",enak pakai obe anakanak tau ajar
obe kok seperti onesizefitsall ya padahal anakanak bedabeda kemampuannya,"['obe', 'onesizefitsall', 'ya', 'anakanak', 'bedabeda', 'mampu']",obe onesizefitsall ya anakanak bedabeda mampu
alhamdulillah bahanbahan untuk obe cukup tersedia di sekolah kami,"['alhamdulillah', 'bahanbahan', 'obe', 'sedia', 'sekolah']",alhamdulillah bahanbahan obe sedia sekolah
obe ngajarin skill yang bakal kepake buat masa depan anakanak,"['obe', 'ngajarin', 'skill', 'kepake', 'anakanak']",obe ngajarin skill kepake anakanak
masih bingung gimana cara ngajar pakai metode obe,"['bingung', 'gimana', 'ngajar', 'pakai', 'metode', 'obe']",bingung gimana ngajar pakai metode obe
muridmurid lebih mudeng tujuan belajarnya pakai obe,"['muridmurid', 'mudeng', 'tuju', 'ajar', 'pakai', 'obe']",muridmurid mudeng tuju ajar pakai obe
kasian anakanak kebanyakan tugas dan ujian garagara obe,"['kasi', 'anakanak', 'banyak', 'tugas', 'uji', 'garagara', 'obe']",kasi anakanak banyak tugas uji garagara obe
obe butuh waktu untuk lihat hasilnya jangan buruburu nilai,"['obe', 'butuh', 'lihat', 'hasil', 'buruburu', 'nilai']",obe butuh lihat hasil buruburu nilai
kurang suka sama obe terlalu ribet,"['suka', 'obe', 'ribet']",suka obe ribet
obe bikin pembelajaran lebih masuk akal buat anakanak,"['obe', 'bikin', 'ajar', 'masuk', 'akal', 'anakanak']",obe bikin ajar masuk akal anakanak
internet di sekolah kami lemot gimana ingin pakai obe,"['internet', 'sekolah', 'lot', 'gimana', 'pakai', 'obe']",internet sekolah lot gimana pakai obe
obe bikin anakanak jadi lebih bertanggung jawab sama belajarnya,"['obe', 'bikin', 'anakanak', 'tanggung', 'ajar']",obe bikin anakanak tanggung ajar
wali murid pada protes garagara tidak ngerti sistem obe,"['wali', 'murid', 'protes', 'garagara', 'ngerti', 'sistem', 'obe']",wali murid protes garagara ngerti sistem obe
tadinya ragu tapi setelah lihat hasil obe saya jadi yakin,"['ragu', 'lihat', 'hasil', 'obe']",ragu lihat hasil obe
guruguru disini pada males nerapin obe ribet katanya,"['guruguru', 'males', 'nerapin', 'obe', 'ribet']",guruguru males nerapin obe ribet
yang penting isinya bukan nama kurikulumnya obe atau apa,"['isi', 'nama', 'kurikulum', 'obe']",isi nama kurikulum obe
obe keren karena fokus ke skill praktis bukan hanya hafalan,"['obe', 'keren', 'fokus', 'skill', 'praktis', 'hafal']",obe keren fokus skill praktis hafal
bingung sekali sama rubrik penilaian obe,"['bingung', 'rubrik', 'nilai', 'obe']",bingung rubrik nilai obe
pakai obe proyek kelompok jadi lebih terarah,"['pakai', 'obe', 'proyek', 'kelompok', 'arah']",pakai obe proyek kelompok arah
tambah pusing saja jadi guru kurikulum gontaganti mulu,"['pusing', 'guru', 'kurikulum', 'gontaganti', 'mulu']",pusing guru kurikulum gontaganti mulu
obe bikin siswa bisa ukur kemajuan belajarnya sendiri,"['obe', 'bikin', 'siswa', 'ukur', 'maju', 'ajar']",obe bikin siswa ukur maju ajar
sumber daya di sekolah tidak mendukung untuk obe,"['sumber', 'daya', 'sekolah', 'dukung', 'obe']",sumber daya sekolah dukung obe
yah obe atau bukan yang penting anakanak bisa belajar,"['yah', 'obe', 'anakanak', 'ajar']",yah obe anakanak ajar
menyenangkan mengajar pakai metode obe,"['senang', 'ajar', 'pakai', 'metode', 'obe']",senang ajar pakai metode obe
obe terlalu ambisius untuk kondisi pendidikan kita,"['obe', 'ambisius', 'kondisi', 'didik']",obe ambisius kondisi didik
lebih terstruktur cara mengajarnya pakai obe,"['struktur', 'ajar', 'pakai', 'obe']",struktur ajar pakai obe
nilai anakanak malah turun sejak pakai obe,"['nilai', 'anakanak', 'turun', 'pakai', 'obe']",nilai anakanak turun pakai obe
obe butuh penyesuaian untuk tiap sekolah tidak bisa sama rata,"['obe', 'butuh', 'sesuai', 'sekolah']",obe butuh sesuai sekolah
siswa jadi lebih mandiri sejak pakai obe tidak nunggu disuapin terus,"['siswa', 'mandiri', 'pakai', 'obe', 'nunggu', 'disuapin']",siswa mandiri pakai obe nunggu disuapin
terlalu banyak teori di obe kurang prakteknya,"['teori', 'obe', 'praktek']",teori obe praktek
suka sama konsep obe yang jelas targetnya,"['suka', 'konsep', 'obe', 'target']",suka konsep obe target
hampir tidak ada bedanya sama kurikulum sebelumnya,"['beda', 'kurikulum']",beda kurikulum
obe bikin anakanak lebih siap masuk kuliah,"['obe', 'bikin', 'anakanak', 'masuk', 'kuliah']",obe bikin anakanak masuk kuliah
kasian guru honorer tambah banyak kerjaan garagara obe,"['kasi', 'guru', 'honorer', 'kerja', 'garagara', 'obe']",kasi guru honorer kerja garagara obe
pembelajaran jadi lebih bermakna pakai obe,"['ajar', 'makna', 'pakai', 'obe']",ajar makna pakai obe
pusing nerapin obe di kelas besar dengan 40 siswa,"['pusing', 'nerapin', 'obe', 'kelas', '40', 'siswa']",pusing nerapin obe kelas 40 siswa
mending fokus ke guru berkualitas daripada gantiganti kurikulum terus,"['mending', 'fokus', 'guru', 'kualitas', 'gantiganti', 'kurikulum']",mending fokus guru kualitas gantiganti kurikulum
obe bisa memotivasi siswa yang biasanya kurang aktif,"['obe', 'motivasi', 'siswa', 'aktif']",obe motivasi siswa aktif
paperworknya kebanyakan di obe kapan ngajarnya,"['paperworknya', 'banyak', 'obe', 'ngajarnya']",paperworknya banyak obe ngajarnya
obe perlu disesuaikan sama kondisi tiap daerah,"['obe', 'sesuai', 'kondisi', 'daerah']",obe sesuai kondisi daerah
muridmurid lebih ngerti kenapa mereka harus belajar suatu materi,"['muridmurid', 'ngerti', 'ajar', 'materi']",muridmurid ngerti ajar materi
buat apa obe kalau fasilitasnya masih kurang,"['obe', 'fasilitas']",obe fasilitas
perlu waktu untuk adaptasi ke obe tapi so far so good,"['adaptasi', 'obe', 'so', 'far', 'so', 'good']",adaptasi obe so far so good
obe ngasih kesempatan anak berkembang sesuai potensinya,"['obe', 'ngasih', 'sempat', 'anak', 'kembang', 'sesuai', 'potensi']",obe ngasih sempat anak kembang sesuai potensi
terlalu banyak tuntutan ke guru dengan obe ini,"['tuntut', 'guru', 'obe']",tuntut guru obe
anakanak lebih pede presentasi hasil projectnya di obe,"['anakanak', 'pede', 'presentasi', 'hasil', 'projectnya', 'obe']",anakanak pede presentasi hasil projectnya obe
ribet sekali administrasi obe,"['ribet', 'administrasi', 'obe']",ribet administrasi obe
suka sama konsepnya tapi implementasinya masih kacau,"['suka', 'konsep', 'implementasi', 'kacau']",suka konsep implementasi kacau
obe bikin anakanak lebih kreatif,"['obe', 'bikin', 'anakanak', 'kreatif']",obe bikin anakanak kreatif
kurang sosialisasi tentang obe ke orang tua,"['sosialisasi', 'obe', 'orang', 'tua']",sosialisasi obe orang tua
keren juga obe ini anakanak jadi bisa belajar dengan cara berbedabeda,"['keren', 'obe', 'anakanak', 'ajar', 'berbedabeda']",keren obe anakanak ajar berbedabeda
pusing mikirin cara nilai yang bener di obe,"['pusing', 'mikirin', 'nilai', 'bener', 'obe']",pusing mikirin nilai bener obe
kurikulum obe lumayan bagus sebenernya,"['kurikulum', 'obe', 'lumayan', 'bagus', 'sebenernya']",kurikulum obe lumayan bagus sebenernya
kok rasanya setiap ganti menteri ganti kurikulum ya,"['ganti', 'menteri', 'ganti', 'kurikulum', 'ya']",ganti menteri ganti kurikulum ya
obe bikin anakanak bisa kerja sama lebih baik,"['obe', 'bikin', 'anakanak', 'kerja']",obe bikin anakanak kerja
internet di sekolah sering mati gimana ingin nerapin obe,"['internet', 'sekolah', 'mati', 'gimana', 'nerapin', 'obe']",internet sekolah mati gimana nerapin obe
orangtua bingung gimana cara bantu anak belajar dengan obe,"['orangtua', 'bingung', 'gimana', 'bantu', 'anak', 'ajar', 'obe']",orangtua bingung gimana bantu anak ajar obe
obe ini oke lah untuk anakanak generasi sekarang,"['obe', 'oke', 'anakanak', 'generasi']",obe oke anakanak generasi
rasanya semua kurikulum sama saja hanya beda bungkusnya,"['kurikulum', 'beda', 'bungkus']",kurikulum beda bungkus
seneng lihat anakanak lebih antusias belajar pakai obe,"['neng', 'lihat', 'anakanak', 'antusias', 'ajar', 'pakai', 'obe']",neng lihat anakanak antusias ajar pakai obe
ujian nasional masih jadi patokan obe jadi kurang relevan,"['uji', 'nasional', 'patok', 'obe', 'relevan']",uji nasional patok obe relevan
obe bikin anakanak bisa ekspresikan diri lebih baik,"['obe', 'bikin', 'anakanak', 'ekspresi']",obe bikin anakanak ekspresi
terlalu banyak perubahan bikin guru dan murid bingung,"['ubah', 'bikin', 'guru', 'murid', 'bingung']",ubah bikin guru murid bingung
menurut saya obe bagus untuk perkembangan pendidikan kita,"['obe', 'bagus', 'kembang', 'didik']",obe bagus kembang didik
mana ada anggaran buat pelatihan obe di sekolah kami,"['anggar', 'latih', 'obe', 'sekolah']",anggar latih obe sekolah
obe ngajarin siswa cara belajar yang bener bukan hanya nilai,"['obe', 'ngajarin', 'siswa', 'ajar', 'bener', 'nilai']",obe ngajarin siswa ajar bener nilai
kurang cocok obe diterapkan di sekolah dengan fasilitas terbatas,"['cocok', 'obe', 'terap', 'sekolah', 'fasilitas', 'batas']",cocok obe terap sekolah fasilitas batas
ya biasa saja tidak ada yang spesial dari obe,"['ya', 'spesial', 'obe']",ya spesial obe
anakanak lebih bersemangat kerjain tugas obe yang kreatif,"['anakanak', 'semangat', 'kerjain', 'tugas', 'obe', 'kreatif']",anakanak semangat kerjain tugas obe kreatif
beban kerja guru dobel garagara obe,"['beban', 'kerja', 'guru', 'dobel', 'garagara', 'obe']",beban kerja guru dobel garagara obe
obe cocok buat daerah yang maju kita masih kurang siap,"['obe', 'cocok', 'daerah', 'maju']",obe cocok daerah maju
bonek sama obe apalagi buat guru senior yang sudah nyaman sama cara lama,"['bonek', 'obe', 'guru', 'senior', 'nyaman']",bonek obe guru senior nyaman
sejauh ini obe tidak ada masalah di sekolah kami,"['obe', 'sekolah']",obe sekolah
obe bikin siswa jadi lebih berani berpendapat,"['obe', 'bikin', 'siswa', 'berani', 'dapat']",obe bikin siswa berani dapat
susah nyari materi yang pas buat obe,"['susah', 'nyari', 'materi', 'pas', 'obe']",susah nyari materi pas obe
anakanak lebih bisa berkomunikasi dengan baik sejak obe,"['anakanak', 'komunikasi', 'obe']",anakanak komunikasi obe
kurang suka obe terlalu fokus ke project yang ribet,"['suka', 'obe', 'fokus', 'project', 'ribet']",suka obe fokus project ribet
metode penilaian obe lebih masuk akal,"['metode', 'nilai', 'obe', 'masuk', 'akal']",metode nilai obe masuk akal
tidak ngerti kenapa harus ganti kurikulum lagi,"['ngerti', 'ganti', 'kurikulum']",ngerti ganti kurikulum
obe bikin pembelajaran jadi lebih variatif,"['obe', 'bikin', 'ajar', 'variatif']",obe bikin ajar variatif
guruguru masih bingung cara isi rapor obe,"['guruguru', 'bingung', 'isi', 'rapor', 'obe']",guruguru bingung isi rapor obe
obe lumayan anakanak jadi lebih aktif,"['obe', 'lumayan', 'anakanak', 'aktif']",obe lumayan anakanak aktif
mana ada biaya buat bikin media pembelajaran obe,"['biaya', 'bikin', 'media', 'ajar', 'obe']",biaya bikin media ajar obe
siswa lebih bisa mengekspresikan ide mereka dengan obe,"['siswa', 'ekspresi', 'ide', 'obe']",siswa ekspresi ide obe
terlalu banyak perubahan dalam waktu singkat,"['ubah', 'singkat']",ubah singkat
obe bikin anakanak lebih siap hadapi dunia kerja,"['obe', 'bikin', 'anakanak', 'hadap', 'dunia', 'kerja']",obe bikin anakanak hadap dunia kerja
susah implementasikan obe di kelas yang siswanya banyak,"['susah', 'implementasi', 'obe', 'kelas', 'siswa']",susah implementasi obe kelas siswa
biasa saja menurut saya kurikulum obe ini,"['kurikulum', 'obe']",kurikulum obe
penilaian jadi lebih fair dengan obe,"['nilai', 'fair', 'obe']",nilai fair obe
kelamaan persiapan mengajar buat obe capek,"['siap', 'ajar', 'obe', 'capek']",siap ajar obe capek
obe bagus untuk perkembangan karakter anak,"['obe', 'bagus', 'kembang', 'karakter', 'anak']",obe bagus kembang karakter anak
orangtua bingung sama konsep obe,"['orangtua', 'bingung', 'konsep', 'obe']",orangtua bingung konsep obe
anakanak jadi bisa belajar dengan cara yang mereka suka di obe,"['anakanak', 'ajar', 'suka', 'obe']",anakanak ajar suka obe
tidak ngerti kenapa indonesia doyan sekali ganti kurikulum,"['ngerti', 'indonesia', 'doyan', 'ganti', 'kurikulum']",ngerti indonesia doyan ganti kurikulum
obe bikin materi pelajaran lebih masuk ke kehidupan nyata,"['obe', 'bikin', 'materi', 'ajar', 'masuk', 'hidup', 'nyata']",obe bikin materi ajar masuk hidup nyata
makin ribet saja tugas guru pakai obe,"['ribet', 'tugas', 'guru', 'pakai', 'obe']",ribet tugas guru pakai obe
sejak pakai obe rapor anak jadi lebih masuk akal,"['pakai', 'obe', 'rapor', 'anak', 'masuk', 'akal']",pakai obe rapor anak masuk akal
kita belom siap implementasikan obe di semua sekolah,"['bom', 'implementasi', 'obe', 'sekolah']",bom implementasi obe sekolah
obe bagus tapi perlu waktu buat adaptasi,"['obe', 'bagus', 'adaptasi']",obe bagus adaptasi
paperwork obe bikin guru tidak fokus ngajar,"['paperwork', 'obe', 'bikin', 'guru', 'fokus', 'ngajar']",paperwork obe bikin guru fokus ngajar
anakanak lebih paham materi dengan cara belajar obe,"['anakanak', 'paham', 'materi', 'ajar', 'obe']",anakanak paham materi ajar obe
obe susah diterapin di sekolah yang siswanya banyak,"['obe', 'susah', 'diterapin', 'sekolah', 'siswa']",obe susah diterapin sekolah siswa
sebenernya okeoke saja obe ini,"['sebenernya', 'okeoke', 'obe']",sebenernya okeoke obe
bagus obe tapi guruguru belum siap,"['bagus', 'obe', 'guruguru']",bagus obe guruguru
anakanak malah bingung dengan sistem obe,"['anakanak', 'bingung', 'sistem', 'obe']",anakanak bingung sistem obe
obe ngebantu siswa lebih siap masuk dunia kerja,"['obe', 'ngebantu', 'siswa', 'masuk', 'dunia', 'kerja']",obe ngebantu siswa masuk dunia kerja
obe bagus di teori tapi implementasinya susah,"['obe', 'bagus', 'teori', 'implementasi', 'susah']",obe bagus teori implementasi susah
sejak obe anakanak lebih tertarik sama pelajaran,"['obe', 'anakanak', 'tarik', 'ajar']",obe anakanak tarik ajar
orang tua masih bingung sama penilaian obe,"['orang', 'tua', 'bingung', 'nilai', 'obe']",orang tua bingung nilai obe
yang penting bukan kurikulumnya tapi kualitas gurunya,"['kurikulum', 'kualitas', 'guru']",kurikulum kualitas guru
obe bikin anakanak lebih berani tampil di depan kelas,"['obe', 'bikin', 'anakanak', 'berani', 'tampil', 'kelas']",obe bikin anakanak berani tampil kelas
pelatihan obe masih kurang jelas,"['latih', 'obe']",latih obe
sekolah di daerah terpencil mana bisa ikutin obe,"['sekolah', 'daerah', 'pencil', 'ikutin', 'obe']",sekolah daerah pencil ikutin obe
kerjaan guru jadi dobeldobel garagara obe,"['kerja', 'guru', 'dobeldobel', 'garagara', 'obe']",kerja guru dobeldobel garagara obe
obe memang bagus untuk perkembangan kreativitas siswa,"['obe', 'bagus', 'kembang', 'kreativitas', 'siswa']",obe bagus kembang kreativitas siswa
belum keliatan bedanya obe sama kurikulum sebelumnya,"['liat', 'beda', 'obe', 'kurikulum']",liat beda obe kurikulum
anakanak jadi lebih mandiri belajarnya pakai obe,"['anakanak', 'mandiri', 'ajar', 'pakai', 'obe']",anakanak mandiri ajar pakai obe
terlalu banyak administrasi di obe bikin guru stress,"['administrasi', 'obe', 'bikin', 'guru', 'stress']",administrasi obe bikin guru stress
obe ini sebenernya hanya ganti bungkus saja,"['obe', 'sebenernya', 'ganti', 'bungkus']",obe sebenernya ganti bungkus
keren obe bikin anakanak ngerti kenapa mereka belajar sesuatu,"['keren', 'obe', 'bikin', 'anakanak', 'ngerti', 'ajar']",keren obe bikin anakanak ngerti ajar
duh pusing sama kurikulum yang gontaganti mulu,"['duh', 'pusing', 'kurikulum', 'gontaganti', 'mulu']",duh pusing kurikulum gontaganti mulu
siswa jadi lebih aktif diskusi sejak pakai obe,"['siswa', 'aktif', 'diskusi', 'pakai', 'obe']",siswa aktif diskusi pakai obe
masih kurang pelatihan implementasi obe buat guru,"['latih', 'implementasi', 'obe', 'guru']",latih implementasi obe guru
obe sudah bener kok arahnya untuk pendidikan kita,"['obe', 'bener', 'arah', 'didik']",obe bener arah didik
orangtua pada complain sama cara penilaian obe,"['orangtua', 'complain', 'nilai', 'obe']",orangtua complain nilai obe
seneng lihat anakanak lebih antusias sama project obe,"['neng', 'lihat', 'anakanak', 'antusias', 'project', 'obe']",neng lihat anakanak antusias project obe
obe butuh sarana yang memadai sekolah kami masih kurang,"['obe', 'butuh', 'sarana', 'pada', 'sekolah']",obe butuh sarana pada sekolah
ya biasa saja obe tidak ada yang spesial,"['ya', 'obe', 'spesial']",ya obe spesial
anakanak jadi lebih kreatif sejak pakai obe,"['anakanak', 'kreatif', 'pakai', 'obe']",anakanak kreatif pakai obe
terlalu ribet obe mending balik ke kurikulum lama,"['ribet', 'obe', 'mending', 'kurikulum']",ribet obe mending kurikulum
obe ngajarin anakanak skill yang benerbener kepake,"['obe', 'ngajarin', 'anakanak', 'skill', 'benerbener', 'kepake']",obe ngajarin anakanak skill benerbener kepake
tidak semua guru bisa adaptasi sama obe,"['guru', 'adaptasi', 'obe']",guru adaptasi obe
obe tidak terlalu beda kok sama kurikulum lama,"['obe', 'beda', 'kurikulum']",obe beda kurikulum
jadi guru tambah capek saja dengan obe,"['guru', 'capek', 'obe']",guru capek obe
anakanak jadi lebih ngerti konsep tidak hanya hafalan,"['anakanak', 'ngerti', 'konsep', 'hafal']",anakanak ngerti konsep hafal
tidak semua guru siap dengan obe,"['guru', 'obe']",guru obe
obe sesuai sekali buat pendidikan jaman now,"['obe', 'sesuai', 'didik', 'jaman', 'now']",obe sesuai didik jaman now
tidak semua sekolah punya sarana untuk obe,"['sekolah', 'sarana', 'obe']",sekolah sarana obe
obe bikin pelajaran jadi lebih masuk akal buat siswa,"['obe', 'bikin', 'ajar', 'masuk', 'akal', 'siswa']",obe bikin ajar masuk akal siswa
bingung sama format penilaian obe,"['bingung', 'format', 'nilai', 'obe']",bingung format nilai obe
siswa jadi lebih termotivasi belajar dengan obe,"['siswa', 'motivasi', 'ajar', 'obe']",siswa motivasi ajar obe
obe butuh dukungan teknologi yang memadai,"['obe', 'butuh', 'dukung', 'teknologi', 'pada']",obe butuh dukung teknologi pada
ya okeoke saja kurikulum obe ini,"['ya', 'okeoke', 'kurikulum', 'obe']",ya okeoke kurikulum obe
anakanak lebih semangat dengan projectproject obe,"['anakanak', 'semangat', 'projectproject', 'obe']",anakanak semangat projectproject obe
kita belum siap implementasikan obe secara penuh,"['implementasi', 'obe', 'penuh']",implementasi obe penuh
obe bagus untuk skill abad 21,"['obe', 'bagus', 'skill', 'abad', '21']",obe bagus skill abad 21
administrasi obe bikin guru pusing tujuh keliling,"['administrasi', 'obe', 'bikin', 'guru', 'pusing', 'tujuh', 'keliling']",administrasi obe bikin guru pusing tujuh keliling
lumayan lah obe ini anakanak jadi lebih aktif,"['lumayan', 'obe', 'anakanak', 'aktif']",lumayan obe anakanak aktif
sekolah kami masih butuh pelatihan lebih lanjut tentang obe,"['sekolah', 'butuh', 'latih', 'obe']",sekolah butuh latih obe
obe bikin suasana belajar jadi lebih menyenangkan,"['obe', 'bikin', 'suasana', 'ajar', 'senang']",obe bikin suasana ajar senang
susah implementasikan obe kalau fasilitas kurang,"['susah', 'implementasi', 'obe', 'fasilitas']",susah implementasi obe fasilitas
menurut saya obe tidak terlalu beda sama kurikulum lama,"['obe', 'beda', 'kurikulum']",obe beda kurikulum
anakanak jadi lebih bisa kerja sama pakai obe,"['anakanak', 'kerja', 'pakai', 'obe']",anakanak kerja pakai obe
beban administrasi obe kebanyakan,"['beban', 'administrasi', 'obe', 'banyak']",beban administrasi obe banyak
obe bagus untuk pembelajaran berbasis proyek,"['obe', 'bagus', 'ajar', 'basis', 'proyek']",obe bagus ajar basis proyek
tidak semua mata pelajaran cocok pakai metode obe,"['mata', 'ajar', 'cocok', 'pakai', 'metode', 'obe']",mata ajar cocok pakai metode obe
sejak pakai obe nilai anakanak jadi lebih baik,"['pakai', 'obe', 'nilai', 'anakanak']",pakai obe nilai anakanak
kurang pelatihan obe buat guruguru,"['latih', 'obe', 'guruguru']",latih obe guruguru
obe bikin anakanak lebih ngerti pentingnya setiap pelajaran,"['obe', 'bikin', 'anakanak', 'ngerti', 'ajar']",obe bikin anakanak ngerti ajar
mending fokus ke kesejahteraan guru daripada ganti kurikulum terus,"['mending', 'fokus', 'sejahtera', 'guru', 'ganti', 'kurikulum']",mending fokus sejahtera guru ganti kurikulum
anakanak jadi lebih bisa ekspresikan diri pakai obe,"['anakanak', 'ekspresi', 'pakai', 'obe']",anakanak ekspresi pakai obe
standar penilaian obe masih belum jelas,"['standar', 'nilai', 'obe']",standar nilai obe
obe bikin pembelajaran lebih terintegrasi antar mapel,"['obe', 'bikin', 'ajar', 'integrasi', 'mapel']",obe bikin ajar integrasi mapel
pusing sama indikator penilaian obe,"['pusing', 'indikator', 'nilai', 'obe']",pusing indikator nilai obe
suka sama obe yang fokus ke outcome bukan hanya proses,"['suka', 'obe', 'fokus', 'outcome', 'proses']",suka obe fokus outcome proses
jadi guru makin ribet saja administrasinya,"['guru', 'ribet', 'administrasi']",guru ribet administrasi
obe bagus untuk pengembangan karakter anak,"['obe', 'bagus', 'kembang', 'karakter', 'anak']",obe bagus kembang karakter anak
