full_text
"Kampus kami asal comot OBE tanpa adaptasi ke konteks lokal, jadinya ya gak nyambung sama kebutuhan riil."
"Capek deh dengerin OBE terus, ujung-ujungnya yang dipentingin tetep nilai bukan pemahaman."
"Gara-gara OBE, kreativitas mahasiswa malah terbunuh karena semuanya harus sesuai standar yang kaku."
"OBE ini bikin sistem pendidikan jadi gak manusiawi, semua diukur pake angka doang tanpa lihat prosesnya."
"Kampus cuma ngejar akreditasi makanya terapin OBE, tapi implementasinya cuma di permukaan doang."
"Nggak ngerti lagi sama kebijakan pendidikan yang gonta-ganti, tahun ini OBE besok apalagi?"
"OBE malah bikin gap antara kampus besar dan kecil makin lebar, karena butuh resource banyak buat implementasinya."
"Sejak pake kurikulum OBE, guru-guru jadi kebanyakan ngurus administratif daripada fokus ngajar."
"Gak semua bidang ilmu cocok diterapin OBE, misalnya humaniora yang lebih ke proses berpikir daripada hasil konkret."
"OBE ini cuma bikin pendidikan jadi mekanistis, hilang unsur seni dan kreativitasnya."
"Kampus kami terpaksa terapin OBE padahal sebenernya gak siap, jadinya implementasinya kacau balau."
"Lebih baik perbaiki kualitas guru daripada gonta-ganti kurikulum terus kayak OBE gini."
"OBE ternyata cuma rebranding dari kurikulum lama, substansinya tetep sama cuma beda istilah doang."
"Udah setahun pake OBE tapi malah bikin mahasiswa jadi bingung karena setiap dosen nerapinnya beda-beda."
"Gara-gara OBE, waktu dosen habis buat bikin dokumen assessmen daripada fokus ke kualitas pengajaran."
"OBE malah bikin mahasiswa jadi gak mandiri, mereka cuma belajar apa yang bakal diuji doang."
"Kenapa sih Indonesia harus ikut-ikutan tren kurikulum dari luar? OBE ini belum tentu cocok untuk konteks kita."
"Kurikulum OBE cuma menyenangkan pembuat kebijakan, yang jadi korban ya guru dan siswa."
"OBE ini konsepnya dari negara yang udah mapan sistem pendidikannya, kalo di Indonesia malah jadi beban tambahan."
"Gak habis pikir kenapa kampus kami mau-maunya ikut tren OBE padahal jelas-jelas belum siap infrastrukturnya."
"Kurikulum berbasis hasil itu bagus di teori, prakteknya malah bikin semua pihak jadi stres."
"OBE bikin pendidikan kehilangan unsur eksplorasi, semuanya udah diatur kaku dalam outcomes."
"Sebagai mahasiswa, saya ngerasa jadi korban eksperimen OBE, dosennya aja masih bingung cara implementasinya."
"OBE bikin beban kerja dosen nambah berkali lipat, mana sempet fokus ke riset dan pengajaran?"
"Kampus kami cuma ganti format RPS jadi berbasis OBE, tapi prakteknya masih pake cara lama."
"Gak efektif banget implementasi OBE kalo dosen-dosennya gak dilatih dengan baik dulu."
"OBE malah bikin pendidikan jadi kehilangan esensinya, yang penting outcomes tercapai walau prosesnya amburadul."
"Udah 2 semester pake OBE, feedbacknya jelek dari mahasiswa, pada bingung sama sistem penilaiannya."
"Gara-gara fokus ke implementasi OBE, kampus kami malah ngelupain masalah mendasar kayak kualitas dosen."
"OBE yang dipaksain tanpa persiapan matang itu sama aja kayak bunuh diri akademik."
"Nggak adil banget maksa semua kampus terapin OBE tanpa liat kondisi dan kemampuan masing-masing."
"OBE malah bikin pendidikan jadi business-oriented, hilang idealisme pendidikan sebagai pencerahan."
"Pusing banget jadi mahasiswa jaman sekarang, tiap tahun kurikulumnya gonta-ganti, sekarang OBE besok apalagi?"
"Gak ngerti deh sama Kemdikbud, bukannya benerin fasilitas pendidikan malah sibuk nerapin OBE."
"OBE ini cuma kedok buat naikin standar akreditasi, esensi peningkatan kualitas pendidikan hilang."
"Kampus kami terpaksa ikutan tren OBE padahal jelas-jelas belum siap dari segi SDM."
"Kurikulum OBE bikin hubungan dosen-mahasiswa jadi kaku, semuanya diatur sama rubrik penilaian."
"OBE yang terlalu rigid malah bikin mati kreativitas mahasiswa dan dosen."
"Dosen-dosen pada bingung sama implementasi OBE, pelatihan cuma sehari langsung disuruh praktekin."
"Gak semua matkul cocok diterapin OBE, apalagi yang sifatnya abstrak kayak filsafat atau etika."
"OBE malah bikin pendidikan jadi kehilangan nilai-nilai luhurnya, semuanya diukur dari kebutuhan pasar."
"Kampus kami asal comot OBE tanpa penyesuaian, jadinya ya gak nyambung sama kondisi riil di lapangan."
"Capek dengerin jargon OBE terus, ujung-ujungnya yang dipentingin tetep nilai bukan pemahaman."
"OBE bikin mahasiswa jadi kurang eksploratif, mereka cuma belajar yang ada di rubrik penilaian doang."
"Sebagai dosen senior, saya gak yakin OBE ini bawa perubahan signifikan selain nambah kerjaan administratif."
"Gak habis pikir kenapa Indonesia selalu jadi follower tren pendidikan global, OBE ini belum tentu cocok untuk kita."
"OBE malah bikin gap antara teori dan praktik makin lebar, mahasiswa cuma paham konsep tanpa bisa aplikasikan."
"Kampus kami udah setahun nerapin OBE tapi belum ada perubahan signifikan, malah nambah kerjaan dosen."
"Sejak terapin OBE, waktu dosen habis buat ngurusin administratif daripada fokus ke pengajaran berkualitas."
"OBE bikin pendidikan kehilangan dimensi kritisnya, mahasiswa cuma fokus ke outcomes yang udah ditentukan."
"Gak relevan banget maksa terapin OBE di kampus yang masih kekurangan dosen dan fasilitas belajar."
"OBE ini cuma pandering ke kebutuhan industri, pendidikan harusnya lebih dari sekedar cetak tenaga kerja."
"Sebagai guru, saya ngerasa OBE ini cuma nambah beban kerja tanpa ada kompensasi yang sepadan."
"OBE malah bikin sistem pendidikan jadi kayak pabrik, mahasiswa diproduksi sesuai permintaan pasar."
"Gak ngerti kenapa kampus harus ikut-ikutan tren OBE padahal belum ada bukti konkret keberhasilannya di Indonesia."
"Kurikulum berbasis hasil itu konsepnya dari kapitalisme, pendidikan jadi komoditas yang bisa diukur dan dijual."
"OBE bikin pendidikan kehilangan soul-nya, semuanya jadi mekanistis dan kaku."
"Gara-gara OBE, dosen jadi lebih sibuk ngurusin dokumen daripada ngajar dan riset."
"Implementasi OBE di kampus kami bikin mahasiswa tambah stres, tugas bertambah tapi gak substantif."
"OBE itu cuma jargon kosong, prakteknya gak ada bedanya sama kurikulum lama, cuma beda kemasan doang."
"Kecewa banget sama penerapan OBE di kampus kami, ternyata cuma buat kepentingan akreditasi doang."
"OBE malah bikin materi pembelajaran jadi oversimplified, yang penting bisa diukur outcomes-nya."
"Gak adil maksa semua kampus terapin OBE tanpa pertimbangkan kekhasan dan kebutuhan masing-masing institusi."
"OBE ini ibaratnya ganti bungkus tapi isinya sama, cuma buat pencitraan doang."
"Sebagai dosen muda, saya kecewa sama OBE yang ternyata cuma nambah kerjaan administratif."
"OBE malah bikin pendidikan jadi kayak fast food, serba cepat dan terstandarisasi tapi gak bernutrisi."
"Udah capek dengerin soal OBE, ujung-ujungnya cuma buat kepentingan akreditasi doang."
"Gak setuju banget sama OBE yang terlalu fokus ke outcomes, proses belajar juga sama pentingnya."
"OBE bikin pendidikan kehilangan unsur humanisnya, semua diukur pake angka doang."
"Kampus kami cuma lip service soal OBE, implementasinya setengah hati jadinya malah bikin bingung."
"Gara-gara OBE, dosen jadi sibuk nyusun dokumen daripada fokus ke pengembangan ilmu."
"OBE yang dipaksain tanpa persiapan matang itu cuma buang-buang waktu dan energi doang."
"Kalau diliat-liat, OBE ini malah bikin standarisasi yang kaku, kreativitas jadi hilang."
"Gak habis pikir kenapa kita selalu latah ikutin tren pendidikan dari luar, OBE belum tentu cocok buat kita."
"OBE bikin pendidikan jadi kehilangan unsur eksplorasi, semuanya udah diatur kaku dalam rubrik penilaian."
"Saya sebagai mahasiswa merasa jadi kelinci percobaan OBE, padahal sistemnya belum jelas gimana implementasinya."
"OBE ini terlalu fokus ke outputs, padahal pendidikan harusnya lebih dari sekedar hasil akhir."
"Gara-gara sibuk nerapin OBE, masalah fundamental pendidikan kita malah terlupakan."
"OBE malah bikin pendidikan jadi sekedar training untuk industri, bukan lagi tentang keilmuan."
"Kalau mau jujur, OBE di kampus kami cuma buat pencitraan doang, prakteknya masih kayak kurikulum lama."
"Gak ngerti lagi sama kebijakan pendidikan yang gonta-ganti, capek ngikutinnya."
"OBE bikin dosen jadi administrator daripada pendidik, waktunya habis buat ngurusin dokumen."
"Kampus kami belum siap implementasi OBE tapi dipaksa, jadinya malah berantakan."
"Sebagai dosen senior, saya merasa OBE ini cuma rebranding dari sistem yang udah ada, gak ada yang baru."
"OBE ternyata bikin beban kerja dosen nambah tapi kualitas pembelajaran gak meningkat."
"Gak semua ilmu bisa diukur pake outcomes yang kaku, misalnya filsafat atau seni."
"OBE malah bikin pendidikan jadi mekanistis, hilang unsur kreativitas dan eksplorasinya."
"Udah setahun implementasi OBE tapi malah bikin mahasiswa tambah bingung karena gak konsisten."
"Gara-gara OBE, dosen jadi kehilangan otonominya dalam mengajar, semuanya harus sesuai outcomes."
"OBE cuma jargon kosong, prakteknya gak ada bedanya sama kurikulum lama."
"Sebagai guru, saya ngerasa OBE ini cuma nambah beban kerja administratif doang."
"OBE malah bikin pendidikan jadi terlalu fokus ke pasar kerja, idealisme keilmuan hilang."
"Kampus kami kejar-kejaran implementasi OBE demi akreditasi, padahal belum siap dari segi SDM."
"Gak habis pikir kenapa pendidikan kita selalu ikut-ikutan tren, OBE belum tentu cocok buat kita."
"OBE bikin mahasiswa jadi kurang eksploratif, mereka cuma belajar sesuai rubrik penilaian doang."
"Udah 6 bulan nerapin OBE, feedbacknya jelek dari mahasiswa, pada bingung sama sistemnya."
"Gara-gara OBE, waktu dosen habis buat dokumen administratif daripada riset dan pengajaran."
"OBE ini terlalu rigid, gak semua proses belajar bisa diukur dengan outcomes yang kaku."
"Kampus kami cuma ganti format dokumen jadi OBE, tapi prakteknya masih sama kayak dulu."
"Sebagai mahasiswa, saya merasa jadi korban eksperimen OBE yang implementasinya setengah-setengah."
"OBE malah bikin pendidikan kehilangan esensinya sebagai proses pencerahan dan pembentukan karakter."
"Gak setuju sama kurikulum OBE yang terlalu fokus ke outcomes, pendidikan lebih dari sekedar hasil."
"OBE ini cuma rebranding dari kurikulum lama, gak ada yang baru selain namanya doang."
