"full_text","tokens","processed_text","label"
"unescocfit meluncurkan pelatihan pendidikan berbasis hasil 2627 maret untuk lembaga pendidikan tinggi ethiopiadengan para ahli utama menyajikan pelatihan melengkapi peserta dengan alat untuk merancang implement ampmenilai kurikulum obelangkah menuju pendidikan transformatifsdg4","['unescocfit', 'meluncurkan', 'pelatihan', 'pendidikan', 'basis', 'hasil', '2627', 'maret', 'lembaga', 'pendidikan', 'ethiopiadengan', 'ahli', 'utama', 'menyajikan', 'pelatihan', 'melengkapi', 'peserta', 'alat', 'merancang', 'implement', 'ampmenilai', 'kurikulum', 'obelangkah', 'pendidikan', 'transformatifsdg4']","unescocfit meluncurkan pelatihan pendidikan basis hasil 2627 maret lembaga pendidikan ethiopiadengan ahli utama menyajikan pelatihan melengkapi peserta alat merancang implement ampmenilai kurikulum obelangkah pendidikan transformatifsdg4","positif"
"obe ini hanya bikin kerja guru makin berat administrasinya banyak sekali sedangkan gajinya tetep segitugitu saja","['obe', 'bikin', 'kerja', 'guru', 'berat', 'administrasi', 'gaji', 'tetep', 'segitugitu']","obe bikin kerja guru berat administrasi gaji tetep segitugitu","negatif"
"tidak ngerti kenapa indonesia selalu ikutikutan tren kurikulum dari luar obe ini hanya kedok buat naikin standar akreditasi saja","['ngerti', 'indonesia', 'ikutikutan', 'tren', 'kurikulum', 'obe', 'kedok', 'naikin', 'standar', 'akreditasi']","ngerti indonesia ikutikutan tren kurikulum obe kedok naikin standar akreditasi","negatif"
"kampus saya sudah setahun pakai obe tapi tidak ada perubahan signifikan dosen masih ngajar dengan cara yang sama","['kampus', 'tahun', 'pakai', 'obe', 'ubah', 'signifikan', 'dosen', 'ngajar']","kampus tahun pakai obe ubah signifikan dosen ngajar","negatif"
"saya sebagai dosen senior merasa obe ini hanya mempersulit sistem yang sudah berjalan baik banyak form yang harus diisi","['dosen', 'senior', 'obe', 'sulit', 'sistem', 'jalan', 'form', 'isi']","dosen senior obe sulit sistem jalan form isi","negatif"
"obe bikin mahasiswa jadi robot yang hanya diukur dari outcomes padahal pendidikan harusnya lebih dari itu","['obe', 'bikin', 'mahasiswa', 'robot', 'ukur', 'outcomes', 'didik']","obe bikin mahasiswa robot ukur outcomes didik","negatif"
"tiap ganti menteri pasti ganti kurikulum sekarang obe besok apa lagi kasihan guruguru yang jadi kelinci percobaan","['ganti', 'menteri', 'ganti', 'kurikulum', 'obe', 'besok', 'kasihan', 'guruguru', 'kelinci', 'coba']","ganti menteri ganti kurikulum obe besok kasihan guruguru kelinci coba","negatif"
"penerapan obe di kampus kami asalasalan hanya ganti template rps saja tanpa ada perubahan substansi","['terap', 'obe', 'kampus', 'asalasalan', 'ganti', 'template', 'rps', 'ubah', 'substansi']","terap obe kampus asalasalan ganti template rps ubah substansi","negatif"
"susah sekali nerapin obe di kelas seni soalnya outcomesnya tidak bisa diukur pakai angka saja","['susah', 'nerapin', 'obe', 'kelas', 'seni', 'outcomesnya', 'ukur', 'pakai', 'angka']","susah nerapin obe kelas seni outcomesnya ukur pakai angka","negatif"
"obe ini hanya jargon akademis baru yang bikin pusing dosen prakteknya tidak ada bedanya sama kurikulum sebelumnya","['obe', 'jargon', 'akademis', 'bikin', 'pusing', 'dosen', 'praktek', 'beda', 'kurikulum']","obe jargon akademis bikin pusing dosen praktek beda kurikulum","negatif"
"sudah setahun kampus kami pakai obe tapi mahasiswa malah jadi stres karena terlalu fokus ke outcome bukan ke proses belajar","['tahun', 'kampus', 'pakai', 'obe', 'mahasiswa', 'stres', 'fokus', 'outcome', 'proses', 'ajar']","tahun kampus pakai obe mahasiswa stres fokus outcome proses ajar","negatif"
"kemdikbud maksa semua kampus terapin obe padahal belum ada panduan jelas jadinya masingmasing kampus interpretasi sendiri","['kemdikbud', 'maksa', 'kampus', 'terapin', 'obe', 'pandu', 'masingmasing', 'kampus', 'interpretasi']","kemdikbud maksa kampus terapin obe pandu masingmasing kampus interpretasi","negatif"
"obe ini konsepnya dari negara maju yang punya resource banyak gimana ingin diterapin di indonesia yang masih kekurangan guru","['obe', 'konsep', 'negara', 'maju', 'resource', 'gimana', 'diterapin', 'indonesia', 'kurang', 'guru']","obe konsep negara maju resource gimana diterapin indonesia kurang guru","negatif"
"dosendosen pada bingung sama obe pelatihan hanya sehari terus disuruh langsung praktekin mana bisa langsung ngerti","['dosendosen', 'bingung', 'obe', 'latih', 'hari', 'suruh', 'langsung', 'praktekin', 'langsung', 'ngerti']","dosendosen bingung obe latih hari suruh langsung praktekin langsung ngerti","negatif"
"elonmusk grok ini telah memenuhi sistem pendidikan dan medis kitadei permukaan ini adalah praktik anti rasis yang menyebabkan kerugian yang tak terhitungapa arti orang yang dipikirkan ekuitas merawat pasien berdasarkan crt art begitu begitu praktekkan niat ekuitashasil yang sama dari masalah medis berdasarkan rasbagaimana itu","['elonmusk', 'grok', 'memenuhi', 'sistem', 'pendidikan', 'medis', 'kitadei', 'permukaan', 'praktik', 'anti', 'rasis', 'menyebabkan', 'kerugian', 'terhitungapa', 'arti', 'orang', 'dipikirkan', 'ekuitas', 'merawat', 'pasien', 'berdasarkan', 'crt', 'art', 'praktek', 'niat', 'ekuitashasil', 'medis', 'berdasarkan', 'rasbagaimana']","elonmusk grok memenuhi sistem pendidikan medis kitadei permukaan praktik anti rasis menyebabkan kerugian terhitungapa arti orang dipikirkan ekuitas merawat pasien berdasarkan crt art praktek niat ekuitashasil medis berdasarkan rasbagaimana","negatif"
"nogulagsagain inilah yang terjadi ketika pendidikan berbasis hasil menggantikan metode sokrates trivium dan pendidikan liberal","['nogulagsagain', 'pendidikan', 'basis', 'hasil', 'menggantikan', 'metode', 'sokrates', 'trivium', 'pendidikan', 'liberal']","nogulagsagain pendidikan basis hasil menggantikan metode sokrates trivium pendidikan liberal","negatif"
"guntthereagleman elonmusk masalah dalam sistem pendidikan berbasis hasil saat ini adalah bahwa poinpoin tidak diajarkan et saja diperlukanyang mereka pikirkan adalah bahwa titik peluru adalah puncak proyektil tetapi mereka juga tidak akan tahu kata itu","['guntthereagleman', 'elonmusk', 'sistem', 'pendidikan', 'basis', 'hasil', 'poinpoin', 'diajarkan', 'et', 'diperlukanyang', 'pikirkan', 'titik', 'peluru', 'puncak', 'proyektil']","guntthereagleman elonmusk sistem pendidikan basis hasil poinpoin diajarkan et diperlukanyang pikirkan titik peluru puncak proyektil","negatif"
"tamilravi aiaitcprovat ya banyak guru mayoritas adalah pengatur waktu lamabutuh waktu untuk melatih mereka untuk berpikir di luar kotak untuk memenuhi pendidikan berbasis hasil","['tamilravi', 'aiaitcprovat', 'ya', 'guru', 'mayoritas', 'pengatur', 'lamabutuh', 'melatih', 'berpikir', 'kotak', 'memenuhi', 'pendidikan', 'basis', 'hasil']","tamilravi aiaitcprovat ya guru mayoritas pengatur lamabutuh melatih berpikir kotak memenuhi pendidikan basis hasil","positif"
"np biohub doe area keahlian ilmu kesehatan desain program berbasis pendidikan amppengiriman metabolik fisiologi ampfarmakologi kolaborasi lembaga endokrinologi molekulerindustri lebih banyak tentang suresh begitu begitu ukspf pharmacology","['np', 'biohub', 'doe', 'area', 'keahlian', 'ilmu', 'kesehatan', 'desain', 'program', 'basis', 'pendidikan', 'amppengiriman', 'metabolik', 'fisiologi', 'ampfarmakologi', 'kolaborasi', 'lembaga', 'endokrinologi', 'molekulerindustri', 'suresh', 'ukspf', 'pharmacology']","np biohub doe area keahlian ilmu kesehatan desain program basis pendidikan amppengiriman metabolik fisiologi ampfarmakologi kolaborasi lembaga endokrinologi molekulerindustri suresh ukspf pharmacology","netral"
"pendidikan berbasis hasil itu seperti kapitalisme masuk dunia pendidikan mahasiswa jadi produk yang harus sesuai permintaan pasar","['didik', 'basis', 'hasil', 'kapitalisme', 'masuk', 'dunia', 'didik', 'mahasiswa', 'produk', 'sesuai', 'minta', 'pasar']","didik basis hasil kapitalisme masuk dunia didik mahasiswa produk sesuai minta pasar","negatif"
"bingung sama obe ini kalau implementasinya asalasalan ya sama saja bohong hanya ganti istilah saja","['bingung', 'obe', 'implementasi', 'asalasalan', 'ya', 'bohong', 'ganti', 'istilah']","bingung obe implementasi asalasalan ya bohong ganti istilah","negatif"
"garagara obe beban administratif dosen jadi berlipat ganda kapan fokusnya ngajar kalau kerjaannya ngisi form mulu","['garagara', 'obe', 'beban', 'administratif', 'dosen', 'lipat', 'ganda', 'fokus', 'ngajar', 'kerja', 'ngisi', 'form', 'mulu']","garagara obe beban administratif dosen lipat ganda fokus ngajar kerja ngisi form mulu","negatif"
"kampus kami diwajibkan pakai obe tahun depan tapi belum ada pelatihan sama sekali gimana cara implementasinya coba","['kampus', 'wajib', 'pakai', 'obe', 'latih', 'gimana', 'implementasi', 'coba']","kampus wajib pakai obe latih gimana implementasi coba","negatif"
"nitttr chennai sedang melakukan program pengembangan profesional tentang pendekatan pedagogis inovatif untuk pendidikan berbasis hasil dari 24022025 hingga 28022025 di kls gogte institute of technology belagavi karnataka dalam mode kontakklsgitbelagavi training","['nitttr', 'chennai', 'program', 'pengembangan', 'profesional', 'pendekatan', 'pedagogis', 'inovatif', 'pendidikan', 'basis', 'hasil', '24022025', '28022025', 'kls', 'gogte', 'institute', 'of', 'technology', 'belagavi', 'karnataka', 'mode', 'kontakklsgitbelagavi', 'training']","nitttr chennai program pengembangan profesional pendekatan pedagogis inovatif pendidikan basis hasil 24022025 28022025 kls gogte institute of technology belagavi karnataka mode kontakklsgitbelagavi training","netral"
"kebijakan pemerintah tentang pendidikan tinggi didasarkan pada kesalahpahaman tentang sikap fakultas ampberpikir bahwa otonomi akan memicu inovasi dalam pendidikan tinggilangkah langkah tebal diperlukan untuk mengubah hei amp yang tidak bertanggung jawabfakultaspenilaian berbasis hasil sangat penting","['kebijakan', 'pemerintah', 'pendidikan', 'didasarkan', 'kesalahpahaman', 'sikap', 'fakultas', 'ampberpikir', 'otonomi', 'memicu', 'inovasi', 'pendidikan', 'tinggilangkah', 'langkah', 'tebal', 'mengubah', 'hei', 'amp', 'bertanggung', 'jawabfakultaspenilaian', 'basis', 'hasil']","kebijakan pemerintah pendidikan didasarkan kesalahpahaman sikap fakultas ampberpikir otonomi memicu inovasi pendidikan tinggilangkah langkah tebal mengubah hei amp bertanggung jawabfakultaspenilaian basis hasil","negatif"
"wakil rektor universitas gauhati menekankan pembelajaran berkelanjutan bagi para pendidik pada program pengembangan fakultas selama seminggu yang berfokus pada pendidikan berbasis hasil dan praktik pengajaran inovatif","['wakil', 'rektor', 'universitas', 'gauhati', 'menekankan', 'ajar', 'berkelanjutan', 'pendidik', 'program', 'pengembangan', 'fakultas', 'seminggu', 'berfokus', 'pendidikan', 'basis', 'hasil', 'praktik', 'ajar', 'inovatif']","wakil rektor universitas gauhati menekankan ajar berkelanjutan pendidik program pengembangan fakultas seminggu berfokus pendidikan basis hasil praktik ajar inovatif","positif"
"mohesr melalui lokakarya interaktif caa yang diadakan dengan lembaga pendidikan tinggi yang berbasis di uea untuk membahas kerangka evaluasi berbasis hasil yang akan datanglokakarya tersebut menguraikan tujuan kerangka kerja baru dan perannya dalam meningkatkan daya saing dan hasil heis","['mohesr', 'lokakarya', 'interaktif', 'caa', 'diadakan', 'lembaga', 'pendidikan', 'basis', 'uea', 'membahas', 'kerangka', 'evaluasi', 'basis', 'hasil', 'datanglokakarya', 'menguraikan', 'tujuan', 'kerangka', 'kerja', 'perannya', 'meningkatkan', 'daya', 'saing', 'hasil', 'heis']","mohesr lokakarya interaktif caa diadakan lembaga pendidikan basis uea membahas kerangka evaluasi basis hasil datanglokakarya menguraikan tujuan kerangka kerja perannya meningkatkan daya saing hasil heis","positif"
"oped saya di thestatepenyebaran cepat wabah campak texas barat tidak dapat dihindarikami memiliki kemampuan untuk mengubah hasil dengan pendidikan berdasarkan fakta dan datamari kita wujudkanvaccineswork","['oped', 'thestatepenyebaran', 'cepat', 'wabah', 'campak', 'texas', 'barat', 'dihindarikami', 'memiliki', 'kemampuan', 'mengubah', 'hasil', 'pendidikan', 'berdasarkan', 'fakta', 'datamari', 'wujudkanvaccineswork']","oped thestatepenyebaran cepat wabah campak texas barat dihindarikami memiliki kemampuan mengubah hasil pendidikan berdasarkan fakta datamari wujudkanvaccineswork","positif"
"kolese tekniknya dalam sorotankursus jangka pendek pendidikan berbasis hasil kami ditampilkan di grenonews ten news dan nbt menunjukkan komitmen kami terhadap keunggulan akademikitsnoida educationexcellence obe","['kolese', 'tekniknya', 'sorotankursus', 'jangka', 'pendek', 'pendidikan', 'basis', 'hasil', 'ditampilkan', 'grenonews', 'ten', 'news', 'nbt', 'komitmen', 'keunggulan', 'akademikitsnoida', 'educationexcellence', 'obe']","kolese tekniknya sorotankursus jangka pendek pendidikan basis hasil ditampilkan grenonews ten news nbt komitmen keunggulan akademikitsnoida educationexcellence obe","positif"
"nspoh ini diganti nama kembali obspendidikan berbasis hasilmemilikinya di sekolah di 90 detik","['nspoh', 'diganti', 'nama', 'obspendidikan', 'basis', 'hasilmemilikinya', 'sekolah', '90', 'detik']","nspoh diganti nama obspendidikan basis hasilmemilikinya sekolah 90 detik","netral"
"buka kunci potensi anda dengan teamuniversityu intake februari 2025 ini datang dan mengalami pendidikan berbasis hasil dengan berbagai program yang dirancang dengan baik yang dimaksudkan untuk memberi anda keunggulan kompetitif yang sangat kompetitif di dunia peluangdibutuhkan sekarangfebruaryintake","['buka', 'kunci', 'potensi', 'teamuniversityu', 'intake', 'februari', '2025', 'mengalami', 'pendidikan', 'basis', 'hasil', 'program', 'dirancang', 'keunggulan', 'kompetitif', 'kompetitif', 'dunia', 'peluangdibutuhkan', 'sekarangfebruaryintake']","buka kunci potensi teamuniversityu intake februari 2025 mengalami pendidikan basis hasil program dirancang keunggulan kompetitif kompetitif dunia peluangdibutuhkan sekarangfebruaryintake","positif"
"hari ke3 stc tentang desain kurikulum berbasis hasil di its engineering college mengeksplorasi teknologi dalam pendidikan mekar taksonomi untuk penilaian dan desain rubrik meningkatkan evaluasi terstruktur untuk hasil pembelajaran yang lebih baikitsengineeringcollege","['ke3', 'stc', 'desain', 'kurikulum', 'basis', 'hasil', 'it', 'engineering', 'college', 'mengeksplorasi', 'teknologi', 'pendidikan', 'mekar', 'taksonomi', 'penilaian', 'desain', 'rubrik', 'meningkatkan', 'evaluasi', 'terstruktur', 'hasil', 'ajar', 'baikitsengineeringcollege']","ke3 stc desain kurikulum basis hasil it engineering college mengeksplorasi teknologi pendidikan mekar taksonomi penilaian desain rubrik meningkatkan evaluasi terstruktur hasil ajar baikitsengineeringcollege","positif"
"duduk dengan malema dan diskusikan rencana industrialisasi pembangunan ilmiah pendidikan pertumbuhan ekonomi dll dan lihat apa hasilnya orang akan memilih pemimpin berdasarkan bagaimana mereka merica dari kebangsaan atau ras suku lain kemudian menangis tentang kemiskinan nanti","['duduk', 'malema', 'diskusikan', 'rencana', 'industrialisasi', 'pembangunan', 'ilmiah', 'pendidikan', 'pertumbuhan', 'ekonomi', 'dll', 'lihat', 'hasilnya', 'orang', 'memilih', 'pemimpin', 'berdasarkan', 'merica', 'kebangsaan', 'ra', 'suku', 'menangis', 'kemiskinan']","duduk malema diskusikan rencana industrialisasi pembangunan ilmiah pendidikan pertumbuhan ekonomi dll lihat hasilnya orang memilih pemimpin berdasarkan merica kebangsaan ra suku menangis kemiskinan","netral"
"carmel college autonomous mala thrissur menyelenggarakan program pengembangan fakultas online internasional tentang pendidikan berbasis hasil dan penerapan ai generatif dalam pengajaran dan penelitian dalam hubungan dengan direktorat pemerintah pendidikan collegiate kerala","['carmel', 'college', 'autonomous', 'mala', 'thrissur', 'menyelenggarakan', 'program', 'pengembangan', 'fakultas', 'online', 'internasional', 'pendidikan', 'basis', 'hasil', 'penerapan', 'ai', 'generatif', 'ajar', 'penelitian', 'hubungan', 'direktorat', 'pemerintah', 'pendidikan', 'collegiate', 'kerala']","carmel college autonomous mala thrissur menyelenggarakan program pengembangan fakultas online internasional pendidikan basis hasil penerapan ai generatif ajar penelitian hubungan direktorat pemerintah pendidikan collegiate kerala","positif"
"hari 2 program stc tentang desain kurikulum berbasis hasil di its engineering college mengeksplorasi obe fundamentals mengajar strategi dan belajar taksonomi melalui sesi wawasan yang menumbuhkan pendidikan yang berdampak dan efektifstc2025 obe teachingexcellence","['2', 'program', 'stc', 'desain', 'kurikulum', 'basis', 'hasil', 'it', 'engineering', 'college', 'mengeksplorasi', 'obe', 'fundamental', 'ajar', 'strategi', 'ajar', 'taksonomi', 'sesi', 'wawasan', 'menumbuhkan', 'pendidikan', 'berdampak', 'efektifstc2025', 'obe', 'teachingexcellence']","2 program stc desain kurikulum basis hasil it engineering college mengeksplorasi obe fundamental ajar strategi ajar taksonomi sesi wawasan menumbuhkan pendidikan berdampak efektifstc2025 obe teachingexcellence","positif"
"woodyboy2020 loiskolkhorst tanyaann1964 tanparkertx lynnsdavenport hanestracy1776 hollieplemons andyhoppertx shelleyluther reprwilliams marydunlaphome this is why they want the home schoolers and chartersini semua akan menjadi program globalis berbasis komputer yang mendorong kompetensi daur ulang hasil berbasis globalis","['woodyboy2020', 'loiskolkhorst', 'tanyaann1964', 'tanparkertx', 'lynnsdavenport', 'hanestracy1776', 'hollieplemons', 'andyhoppertx', 'shelleyluther', 'reprwilliams', 'marydunlaphome', 'this', 'is', 'why', 'they', 'want', 'the', 'home', 'schoolers', 'and', 'chartersini', 'program', 'globalis', 'basis', 'komputer', 'mendorong', 'kompetensi', 'daur', 'ulang', 'hasil', 'basis', 'globalis']","woodyboy2020 loiskolkhorst tanyaann1964 tanparkertx lynnsdavenport hanestracy1776 hollieplemons andyhoppertx shelleyluther reprwilliams marydunlaphome this is why they want the home schoolers and chartersini program globalis basis komputer mendorong kompetensi daur ulang hasil basis globalis","netral"
"platform pendidikan kanada coursecompare barubaru ini merilis peringkat berbasis hasil untuk lembaga pascasekolah menengah kanada dan program masingmasing untuk 2025 university of calgary berada di peringkat kelima di antara lembaga pascasekolah menengah kanada dan kanada dan kanada dan lembagalembaga pascasekolah menengah kanada dan","['platform', 'pendidikan', 'kanada', 'coursecompare', 'barubaru', 'merilis', 'peringkat', 'basis', 'hasil', 'lembaga', 'pascasekolah', 'menengah', 'kanada', 'program', 'masingmasing', '2025', 'university', 'of', 'calgary', 'peringkat', 'lembaga', 'pascasekolah', 'menengah', 'kanada', 'kanada', 'kanada', 'lembagalembaga', 'pascasekolah', 'menengah', 'kanada']","platform pendidikan kanada coursecompare barubaru merilis peringkat basis hasil lembaga pascasekolah menengah kanada program masingmasing 2025 university of calgary peringkat lembaga pascasekolah menengah kanada kanada kanada lembagalembaga pascasekolah menengah kanada","positif"
"thabangshibo philcraig2 gvanonselen kebijakan berbasis dan peluang untuk pendidikan yang tepatboost ampmendukung murid yang berkinerja baikhasil dari menjatuhkan mereka yang mencapai untuk membuat semua orang setara diketahui mereka yang memiliki sarana akan meninggalkan pemerintah akan mencuri dan sisanya tenggelam lebih jauh ke dalam kemiskinan","['thabangshibo', 'philcraig2', 'gvanonselen', 'kebijakan', 'basis', 'peluang', 'pendidikan', 'tepatboost', 'ampmendukung', 'murid', 'berkinerja', 'baikhasil', 'menjatuhkan', 'mencapai', 'orang', 'setara', 'memiliki', 'sarana', 'meninggalkan', 'pemerintah', 'mencuri', 'sisanya', 'tenggelam', 'kemiskinan']","thabangshibo philcraig2 gvanonselen kebijakan basis peluang pendidikan tepatboost ampmendukung murid berkinerja baikhasil menjatuhkan mencapai orang setara memiliki sarana meninggalkan pemerintah mencuri sisanya tenggelam kemiskinan","negatif"
"analass666 jaybefaunt mungkin sekarang saatnya untuk memperkenalkan sistem berbasis keuntungan insentif ketika datang ke pendidikan karena sekarang pemerintah tidak melakukan pekerjaan yang sangat baik tanpa insentif untuk benar benar menghasilkan hasil yang bermanfaat bagi individu yang dilayani","['analass666', 'jaybefaunt', 'memperkenalkan', 'sistem', 'basis', 'keuntungan', 'insentif', 'pendidikan', 'pemerintah', 'kerja', 'insentif', 'menghasilkan', 'hasil', 'bermanfaat', 'individu', 'dilayani']","analass666 jaybefaunt memperkenalkan sistem basis keuntungan insentif pendidikan pemerintah kerja insentif menghasilkan hasil bermanfaat individu dilayani","negatif"
"elonmusk melihat pendidikan berbasis hasilhukum tanah di commieforniaanda akan ngeri","['elonmusk', 'pendidikan', 'basis', 'hasilhukum', 'tanah', 'commieforniaanda', 'ngeri']","elonmusk pendidikan basis hasilhukum tanah commieforniaanda ngeri","netral"
"persis serta seluruh timur tengahindoktrinasi dan bukan pendidikan nyata akan menghasilkan kebencian dan konflik hasil yang samaini tidak sulit dimengertibantuan apa pun harus dikaitkan dengan pendidikan yang mapan berdasarkan kenyataan","['persis', 'timur', 'tengahindoktrinasi', 'pendidikan', 'nyata', 'menghasilkan', 'kebencian', 'konflik', 'hasil', 'samaini', 'sulit', 'dimengertibantuan', 'dikaitkan', 'pendidikan', 'mapan', 'berdasarkan', 'kenyataan']","persis timur tengahindoktrinasi pendidikan nyata menghasilkan kebencian konflik hasil samaini sulit dimengertibantuan dikaitkan pendidikan mapan berdasarkan kenyataan","negatif"
"21 fakultas sclas berpartisipasi dalam pendidikan berbasis hasil fdp virtual meningkatkan pembelajaran pengajaran dan penilaian oleh dari v krishnamoorthy kongu engineering college yang diselenggarakan oleh departemen fintech pada 28 januari 2025","['21', 'fakultas', 'sclas', 'berpartisipasi', 'pendidikan', 'basis', 'hasil', 'fdp', 'virtual', 'meningkatkan', 'ajar', 'ajar', 'penilaian', 'v', 'krishnamoorthy', 'kongu', 'engineering', 'college', 'diselenggarakan', 'departemen', 'fintech', '28', 'januari', '2025']","21 fakultas sclas berpartisipasi pendidikan basis hasil fdp virtual meningkatkan ajar ajar penilaian v krishnamoorthy kongu engineering college diselenggarakan departemen fintech 28 januari 2025","netral"
"dei bukanlah hal baru kalau kalau ada yang peduliawalnya dimulai pada akhir 1980 an dan diterapkan pada awal 1990 anprogram ini diuji dalam sistem sekolah minnesota dan itu disebut obe pendidikan berbasis hasilsungguh menakjubkan tidak ada orang di x yang pernah membicarakan hal ini","['dei', 'peduliawalnya', '1980', 'an', 'diterapkan', '1990', 'anprogram', 'diuji', 'sistem', 'sekolah', 'minnesota', 'obe', 'pendidikan', 'basis', 'hasilsungguh', 'menakjubkan', 'orang', 'x', 'bicara']","dei peduliawalnya 1980 an diterapkan 1990 anprogram diuji sistem sekolah minnesota obe pendidikan basis hasilsungguh menakjubkan orang x bicara","netral"
