"full_text","tokens","processed_text","label"
"anakanak jadi bisa belajar sesuai minat mereka dengan obe","['anakanak', 'ajar', 'sesuai', 'minat', 'obe']","anakanak ajar sesuai minat obe","positif"
"obe malah bikin guru fokus ke administrasi daripada ngajar","['obe', 'bikin', 'guru', 'fokus', 'administrasi', 'ngajar']","obe bikin guru fokus administrasi ngajar","negatif"
"tidak semua siswa cocok dengan metode pembelajaran obe","['siswa', 'cocok', 'metode', 'ajar', 'obe']","siswa cocok metode ajar obe","netral"
"keren obe ini anakanak jadi lebih kreatif dan inovatif","['keren', 'obe', 'anakanak', 'kreatif', 'inovatif']","keren obe anakanak kreatif inovatif","positif"
"obe tidak realistis diterapkan di sekolah dengan dana terbatas","['obe', 'realistis', 'terap', 'sekolah', 'dana', 'batas']","obe realistis terap sekolah dana batas","negatif"
"ujungnya nilai anak tetep dilihat dari un jadi obe percuma","['ujung', 'nilai', 'anak', 'tetep', 'un', 'obe']","ujung nilai anak tetep un obe","negatif"
"obe bikin pembelajaran lebih terintegrasi dengan teknologi","['obe', 'bikin', 'ajar', 'integrasi', 'teknologi']","obe bikin ajar integrasi teknologi","positif"
"guru jadi kebingungan cara ngasih nilai di kurikulum obe","['guru', 'bingung', 'ngasih', 'nilai', 'kurikulum', 'obe']","guru bingung ngasih nilai kurikulum obe","negatif"
"banyak orangtua yang tidak suka sama obe karena beda sama jaman mereka dulu","['orangtua', 'suka', 'obe', 'beda', 'jaman']","orangtua suka obe beda jaman","negatif"
"obe bagus untuk keterampilan abad 21 yang dibutuhkan anakanak","['obe', 'bagus', 'terampil', 'abad', '21', 'butuh', 'anakanak']","obe bagus terampil abad 21 butuh anakanak","positif"
"tidak ada bedanya obe sama kurikulum sebelumnya hanya ganti nama","['beda', 'obe', 'kurikulum', 'ganti', 'nama']","beda obe kurikulum ganti nama","netral"
"guruguru jadi tambah stress garagara obe","['guruguru', 'stress', 'garagara', 'obe']","guruguru stress garagara obe","negatif"
"obe membuat siswa lebih siap menghadapi tantangan masa depan","['obe', 'siswa', 'hadap', 'tantang']","obe siswa hadap tantang","positif"
"pelatihan obe tidak jelas guruguru masih bingung","['latih', 'obe', 'guruguru', 'bingung']","latih obe guruguru bingung","negatif"
"anakanak lebih punya inisiatif belajar dengan sistem obe","['anakanak', 'inisiatif', 'ajar', 'sistem', 'obe']","anakanak inisiatif ajar sistem obe","positif"
"kepala sekolah saja tidak ngerti obe gimana ingin nerapin","['kepala', 'sekolah', 'ngerti', 'obe', 'gimana', 'nerapin']","kepala sekolah ngerti obe gimana nerapin","negatif"
"obe hanya cocok buat sekolah elite di kota besar","['obe', 'cocok', 'sekolah', 'elite', 'kota']","obe cocok sekolah elite kota","negatif"
"mending fokus benerin gaji guru daripada gantiganti kurikulum terus","['mending', 'fokus', 'benerin', 'gaji', 'guru', 'gantiganti', 'kurikulum']","mending fokus benerin gaji guru gantiganti kurikulum","negatif"
"obe mendukung pengembangan karakter siswa dengan lebih baik","['obe', 'dukung', 'kembang', 'karakter', 'siswa']","obe dukung kembang karakter siswa","positif"
"materi obe terlalu banyak waktu ngajarnya kurang","['materi', 'obe', 'ngajarnya']","materi obe ngajarnya","negatif"
"sistem obe bikin anakanak lebih siap masuk dunia kerja","['sistem', 'obe', 'bikin', 'anakanak', 'masuk', 'dunia', 'kerja']","sistem obe bikin anakanak masuk dunia kerja","positif"
"terlalu banyak rubrik penilaian di obe bikin guru mumet","['rubrik', 'nilai', 'obe', 'bikin', 'guru', 'mumet']","rubrik nilai obe bikin guru mumet","negatif"
"obe mah hanya program pencitraan saja","['obe', 'mah', 'program', 'citra']","obe mah program citra","negatif"
"tidak semua mata pelajaran cocok diajarkan pakai metode obe","['mata', 'ajar', 'cocok', 'ajar', 'pakai', 'metode', 'obe']","mata ajar cocok ajar pakai metode obe","negatif"
"anakanak jadi lebih bisa berfikir kritis dengan obe","['anakanak', 'berfikir', 'kritis', 'obe']","anakanak berfikir kritis obe","positif"
"kurikulum obe lebih membebani siswa dengan tugas yang banyak","['kurikulum', 'obe', 'beban', 'siswa', 'tugas']","kurikulum obe beban siswa tugas","negatif"
"jujur saja belum liat beda signifikan antara obe sama kurikulum lama","['jujur', 'liat', 'beda', 'signifikan', 'obe', 'kurikulum']","jujur liat beda signifikan obe kurikulum","netral"
"metode obe membantu siswa mengembangkan kemampuan problem solving","['metode', 'obe', 'bantu', 'siswa', 'kembang', 'mampu', 'problem', 'solving']","metode obe bantu siswa kembang mampu problem solving","positif"
"terlalu teoritis obe ini prakteknya susah","['teoritis', 'obe', 'praktek', 'susah']","teoritis obe praktek susah","negatif"
"obe bikin guru harus kerja lembur tanpa bayaran tambahan","['obe', 'bikin', 'guru', 'kerja', 'lembur', 'bayar', 'tambah']","obe bikin guru kerja lembur bayar tambah","positif"
"tidak semua siswa bisa adaptasi sama model pembelajaran obe","['siswa', 'adaptasi', 'model', 'ajar', 'obe']","siswa adaptasi model ajar obe","negatif"
"obe memberikan pengalaman belajar yang lebih bermakna","['obe', 'alam', 'ajar', 'makna']","obe alam ajar makna","negatif"
"ribet sekali bikin rpp buat kurikulum obe","['ribet', 'bikin', 'rpp', 'kurikulum', 'obe']","ribet bikin rpp kurikulum obe","negatif"
"obe bagus untuk mengembangkan kreativitas dan inovasi siswa","['obe', 'bagus', 'kembang', 'kreativitas', 'inovasi', 'siswa']","obe bagus kembang kreativitas inovasi siswa","positif"
"kurikulum obe bikin orangtua tidak bisa bantu anak belajar di rumah","['kurikulum', 'obe', 'bikin', 'orangtua', 'bantu', 'anak', 'ajar', 'rumah']","kurikulum obe bikin orangtua bantu anak ajar rumah","negatif"
"sekolah butuh dana lebih besar untuk nerapin obe dengan baik","['sekolah', 'butuh', 'dana', 'nerapin', 'obe']","sekolah butuh dana nerapin obe","netral"
"anakanak lebih terampil berkomunikasi sejak belajar pakai obe","['anakanak', 'terampil', 'komunikasi', 'ajar', 'pakai', 'obe']","anakanak terampil komunikasi ajar pakai obe","positif"
"kemendikbud tidak siap dengan infrastruktur untuk obe","['kemendikbud', 'infrastruktur', 'obe']","kemendikbud infrastruktur obe","negatif"
"tidak semua sekolah siap nerapin obe terutama di daerah terpencil","['sekolah', 'nerapin', 'obe', 'daerah', 'pencil']","sekolah nerapin obe daerah pencil","negatif"
"obe membantu anak memahami dunia nyata lewat projectproject yang dikerjakan","['obe', 'bantu', 'anak', 'paham', 'dunia', 'nyata', 'projectproject']","obe bantu anak paham dunia nyata projectproject","positif"
"terlalu banyak istilah teknis di obe yang bikin bingung guru dan orangtua","['istilah', 'teknis', 'obe', 'bikin', 'bingung', 'guru', 'orangtua']","istilah teknis obe bikin bingung guru orangtua","negatif"
"kemendikbud tidak mikirin beban guru dengan obe","['kemendikbud', 'mikirin', 'beban', 'guru', 'obe']","kemendikbud mikirin beban guru obe","negatif"
"obe bikin anakanak lebih berani menyampaikan pendapat","['obe', 'bikin', 'anakanak', 'berani', 'dapat']","obe bikin anakanak berani dapat","positif"
"yang penting kualitas gurunya bukan nama kurikulumnya","['kualitas', 'guru', 'nama', 'kurikulum']","kualitas guru nama kurikulum","netral"
"anakanak lebih semangat presentasi hasil projectnya di obe","['anakanak', 'semangat', 'presentasi', 'hasil', 'projectnya', 'obe']","anakanak semangat presentasi hasil projectnya obe","positif"
"banyak guru yang ngajar asalasalan karena bingung sama obe","['guru', 'ngajar', 'asalasalan', 'bingung', 'obe']","guru ngajar asalasalan bingung obe","negatif"
"obe bikin tugas guru makin numpuk tanpa solusi","['obe', 'bikin', 'tugas', 'guru', 'numpuk', 'solusi']","obe bikin tugas guru numpuk solusi","negatif"
"beban administrasi obe ngerampok waktu guru untuk kreatif","['beban', 'administrasi', 'obe', 'ngerampok', 'guru', 'kreatif']","beban administrasi obe ngerampok guru kreatif","negatif"
"obe mendorong pembelajaran yang lebih kolaboratif antar siswa","['obe', 'dorong', 'ajar', 'kolaboratif', 'siswa']","obe dorong ajar kolaboratif siswa","positif"
"terlalu cepat ganti kurikulum belum sempat evaluasi yang lama","['cepat', 'ganti', 'kurikulum', 'evaluasi']","cepat ganti kurikulum evaluasi","negatif"
"penilaian di obe lebih komprehensif dan adil","['nilai', 'obe', 'komprehensif', 'adil']","nilai obe komprehensif adil","positif"
"obe nyusahin guru honorer yang gajinya kecil tapi kerjaan dobel","['obe', 'nyusahin', 'guru', 'honorer', 'gaji', 'kerja', 'dobel']","obe nyusahin guru honorer gaji kerja dobel","negatif"
"kurikulum obe bikin guru jadi robot administrasi","['kurikulum', 'obe', 'bikin', 'guru', 'robot', 'administrasi']","kurikulum obe bikin guru robot administrasi","negatif"
"metode obe membantu siswa memahami materi dengan lebih baik","['metode', 'obe', 'bantu', 'siswa', 'paham', 'materi']","metode obe bantu siswa paham materi","positif"
"guruguru senior pada ingin pensiun garagara stress dengan obe","['guruguru', 'senior', 'pensiun', 'garagara', 'stress', 'obe']","guruguru senior pensiun garagara stress obe","negatif"
"obe bikin siswa lebih siap masuk dunia kerja modern","['obe', 'bikin', 'siswa', 'masuk', 'dunia', 'kerja', 'modern']","obe bikin siswa masuk dunia kerja modern","positif"
"banyak aturan di obe yang tidak masuk akal buat diterapin","['atur', 'obe', 'masuk', 'akal', 'diterapin']","atur obe masuk akal diterapin","negatif"
"pemerintah tidak mikirin kesejahteraan guru malah nambahin beban dengan obe","['perintah', 'mikirin', 'sejahtera', 'guru', 'nambahin', 'beban', 'obe']","perintah mikirin sejahtera guru nambahin beban obe","negatif"
